res_0_0_100	res_0_10_90	res_0_25_75	res_0_50_50	res_10_0_90	res_10_10_80	res_10_20_70	res_25_0_75	res_33_33_33	res_50_0_50
25	26	50	74	17	41	74	51	98	57
7	28	29	84	20	82	52	55	74	88
1	92	60	69	85	31	68	55	71	53
23	12	82	58	93	25	41	34	92	73
7	34	37	59	18	43	51	26	77	51
19	28	38	85	84	44	35	67	80	88
94	13	39	54	34	21	49	90	74	51
7	16	55		34	88	99	94	70	72
4	15	38		79	49	59	66		55
63	98	41		31	32	64	94		90
63	55	43		26	28	38	36		
41		77		53	97	48			
6		29		48	30	37			
9				34					
12				46					
2									
