generation	max_fitness
0	10.4
1	10.4
2	9.8
3	10.4
4	11.0
5	10.1
6	11.3
7	10.4
8	10.4
9	11.3
10	10.4
11	9.8
12	10.4
13	10.4
14	10.4
15	10.4
16	10.1
17	10.4
18	10.7
19	10.1
20	10.1
21	10.1
22	10.4
23	10.1
24	10.1
25	10.4
26	11.0
27	10.4
28	11.0
29	10.4
30	10.4
31	11.0
32	10.7
33	10.4
34	10.4
35	10.7
36	11.6
37	10.7
38	10.1
39	11.0
40	10.1
41	10.7
42	10.7
43	10.7
44	10.7
45	10.7
46	10.4
47	10.7
48	10.7
49	10.1
50	-0.3
51	-0.3
52	-0.3
53	-0.3
54	-0.3
55	-0.3
56	-0.3
57	-0.3
58	-0.3
59	-0.3
60	-0.3
61	-0.3
62	0.8
63	9.9
64	9.9
65	9.9
66	9.9
67	9.9
68	9.9
69	9.9
70	9.9
71	9.9
72	9.9
73	9.9
74	9.9
75	9.9
76	9.9
77	9.9
78	9.9
79	9.9
80	9.9
81	9.9
82	9.9
83	9.9
84	9.9
85	9.9
86	9.9
87	9.9
88	9.9
89	9.9
90	9.9
91	9.9
92	9.9
93	9.9
94	9.9
95	9.9
96	9.9
97	9.9
98	9.9
99	9.9
