generation	max_fitness
0	10.4
1	10.1
2	10.4
3	10.1
4	10.4
5	9.8
6	10.1
7	10.1
8	10.7
9	10.1
10	10.7
11	10.1
12	10.4
13	10.1
14	10.1
15	10.4
16	10.1
17	10.4
18	10.7
19	11.0
20	10.1
21	11.0
22	10.1
23	11.0
24	9.8
25	10.4
26	10.1
27	10.1
28	10.1
29	9.8
30	11.0
31	10.4
32	10.7
33	10.4
34	10.4
35	10.1
36	11.0
37	11.0
38	10.1
39	11.0
40	10.4
41	11.0
42	10.2
43	11.3
44	11.8
45	11.8
46	10.1
47	10.7
48	10.4
49	10.1
50	6.0
51	6.0
52	6.0
53	6.0
54	6.0
55	6.0
56	6.0
57	6.0
58	6.0
59	6.0
60	6.0
61	6.0
62	6.0
63	6.0
64	6.0
65	6.0
66	6.0
67	6.0
68	6.0
69	6.0
70	6.0
71	6.0
72	6.0
73	6.0
74	6.0
75	6.0
76	6.0
77	6.0
78	6.5
79	6.5
80	6.5
81	6.5
82	6.5
83	6.5
84	7.1
85	7.1
86	8.1
87	8.1
88	8.1
89	8.1
90	8.1
91	8.1
92	10.2
93	10.2
94	10.2
95	10.2
96	10.2
97	10.2
98	10.2
99	10.2
