res_0_0_100	res_0_10_90	res_0_25_75	res_0_50_50	res_10_0_90	res_10_10_80	res_10_20_70	res_25_0_75	res_33_33_33	res_50_0_50
16	14	23	25	14	36	7	23	30	5
23	2	1	12	1	53	14	1	16	12
52	12	5	21	12	5	46	5	30	21
31	6	8	21	74	30	1	31	2	29
7	13	11	13	13	26	34	11	26	4
33	45	48	1	57	1	41	48	23	3
3	26	3	31	26	14	1	3	1	28
28	44	4	28	44	15	7	4	3	1
51	4	32	7	4	43	21	32	18	21
12	16	7	9	16	12	54	24	24	9
5	19	1	38	14	32	2	41	4	10
9	41	52	3	41	28	48	43	1	12
24	11	24	15	11	45	9	24	10	14
82	17	5	12	17	8	9	5	3	18
53	12	35	1	12	9	46	16	9	1
57	12	15	1	35	5	33	15	1	10
40	42	1	44	42	7	28	51	12	1
10	17	36	3	17	29	8	36	7	3
43	88	2	4	12	52	6	2	1	4
89	8	2	20	88	21	1	16	4	1
5	71	9	17	8	7	39	9	10	7
37	1	13	11	71	25	20	13	3	11
26	22	31		1	30	10	62		
9	28	10		22	66		7		
15				28	26				
