res_0_0_100	res_0_10_90	res_0_25_75	res_0_50_50	res_10_0_90	res_10_10_80	res_10_20_70	res_25_0_75	res_33_33_33	res_50_0_50
1	11	26	51	11	21	31	26	67	51
1	11	26	51	11	21	31	26	67	51
1	11	26	51	11	21	31	26	67	51
1	11	26	51	11	21	31	26	67	51
1	11	26	51	11	21	31	26	67	51
1	11	26	51	11	21	31	26	67	51
1	11	26	51	11	21	31	26	67	51
1	11	26	51	11	21	31	26	67	51
1	11	26	51	11	21	31	26	67	51
1	11	26	51	11	21	31	26	67	51
1	11	26	51	11	21	31	26	67	51
1	11	26	51	11	21	31	26	67	51
1	11	26	51	11	21	31	26	67	51
1	11	26	51	11	21	31	26	67	51
1	11	26	51	11	21	31	26		51
