res_10_0_90	res_10_10_80	res_10_20_70	res_0_50_50	res_25_0_75	res_0_0_100	res_0_10_90	res_33_33_33	res_50_0_50	res_0_25_75
29	2	4	1	61	52	34	11	38	1
4	3	8	6	10	97	10	3	8	1
13	51	4	3	33	22	6	5	2	30
29	1	1	3	11	18	47	10	46	45
30	73	36	16	43	1	19	29	16	1
7	20	69	10	1	74	31	16	6	2
1	4	34	7	38	10	14	7	42	1
27	1	46	2	44	22	64	32	1	5
6	14	32	4	23	30	9	4	4	15
20	16	5	17	3	2	10	2	32	6
3	5	20	6	29	1	3	17	36	72
49	18	36	1	27	1	85	1	10	46
12	19	2	11	5	14	3	15	1	67
3.0	10.0	1.0	1.0	3.0	37.0	19.0	5.0	5.0	
4.0	3.0	67.0	5.0	4.0	75.0	17.0			
4.0	58.0	26.0	7.0	24.0					
83.0	22.0	4.0							
28.0	11.0								
17.0	25.0								
10.0	41.0								
