res_10_0_90	res_10_10_80	res_10_20_70	res_0_50_50	res_25_0_75	res_0_0_100	res_0_10_90	res_33_33_33	res_50_0_50	res_0_25_75
39	22	34	52	86	52	44	77	88	27
14	23	38	56	35	97	20	69	58	27
23	71	34	53	58	22	16	71	52	55
39	22	32	53	36	18	57	76	96	70
40	93	66	66	68	2	29	95	66	27
17	40	99	60	27	74	41	82	56	27
12	24	64	57	63	10	24	73	92	27
37	22	76	52	69	22	74	98	52	30
16	34	62	54	48	30	19	70	54	40
30	36	35	67	28	2	20	68	82	31
13	25	50	56	54	2	13	83	86	97
59	38	66	52	52	2	95	68	60	71
22	39	32	61	30	14	13	81	52	92
13.0	30.0	32.0	52.0	28.0	37.0	29.0	71.0	55.0	
14.0	23.0	97.0	55.0	29.0	75.0	27.0			
14.0	78.0	56.0	57.0	49.0					
93.0	42.0	34.0							
38.0	31.0								
27.0	45.0								
20.0	61.0								
