generation	max_fitness
0	10.1
1	10.1
2	10.1
3	10.1
4	10.1
5	10.1
6	10.1
7	10.1
8	10.4
9	10.4
10	-10.0
11	-10.0
12	-3.2
13	-2.5
14	-0.8
15	-0.8
16	-0.3
17	-0.3
18	-0.3
19	-0.3
20	-0.3
21	-0.3
22	-0.3
23	-0.3
24	-0.3
25	-0.3
26	0.8
27	0.8
28	0.8
29	0.8
30	0.8
31	0.8
32	0.8
33	0.8
34	0.8
35	0.8
36	0.8
37	0.8
38	2.4
39	2.4
40	2.4
41	2.4
42	2.4
43	2.4
44	2.4
45	2.4
46	2.4
47	2.4
48	2.4
49	2.4
50	2.4
51	2.4
52	2.4
53	2.4
54	2.4
55	2.4
56	2.4
57	2.4
58	2.4
59	2.4
60	2.4
61	2.4
62	2.4
63	2.4
64	2.4
65	2.4
66	2.4
67	2.4
68	2.4
69	2.4
70	2.4
71	2.4
72	2.4
73	2.4
74	2.4
75	2.4
76	2.4
77	2.4
78	2.4
79	2.4
80	2.4
81	2.4
82	2.4
83	2.4
84	2.4
85	2.4
86	2.4
87	2.4
88	2.4
89	2.4
90	2.4
91	2.4
92	2.4
93	2.4
94	2.4
95	2.4
96	2.4
97	2.4
98	2.4
99	2.4
