solver	short_set_up	fitness_evaluation	avg_percentage_q1	avg_percentage_q3	avg_percentage_median
cgp	C-PAR	0	0.04255763275	0.0602789555	0.047474760500000004
cgp	C-PAR	300	0.0483277235	0.3136106	0.0679802185
cgp	C-PAR	600	0.06122328525	0.3159980875	0.308987885
cgp	C-PAR	900	0.313552315	0.3213403125	0.31852174
cgp	C-PAR	1200	0.313552315	0.3227238375	0.318756255
cgp	C-PAR	1500	0.32056695	0.323632175	0.32137116
cgp	C-PAR	1800	0.32091942500000004	0.323632175	0.32252044999999996
cgp	C-PAR	2100	0.32100371	0.330717275	0.32252044999999996
cgp	C-PAR	2400	0.3222382775	0.33092472500000003	0.32393396
cgp	C-PAR	2700	0.3223610675	0.3315905925	0.324391915
cgp	C-PAR	3000	0.32401862000000003	0.3418025925	0.32440503
cgp	C-PAR	3300	0.3243322575	0.349848195	0.325730595
cgp	C-PAR	3600	0.3243322575	0.351131375	0.33725852
cgp	C-PAR	3900	0.328638015	0.35222702499999997	0.34881042
cgp	C-PAR	4200	0.328638015	0.3524175825	0.34941815
cgp	C-PAR	4500	0.3286983025	0.3524175825	0.34941815
cgp	C-PAR	4800	0.3428761175	0.3526741025	0.35223678
cgp	C-PAR	5100	0.3428761175	0.35369778	0.352630835
cgp	C-PAR	5400	0.3428761175	0.3538588425	0.353207575
cgp	C-PAR	5700	0.3456274325	0.3538588425	0.353207575
cgp	C-PAR	6000	0.3456274325	0.3538588425	0.353207575
cgp	C-PAR	6300	0.3490675325	0.355207425	0.35369778
cgp	C-PAR	6600	0.3494254925	0.355207425	0.35369778
cgp	C-PAR	6900	0.3494254925	0.35548674999999996	0.35450279
cgp	C-PAR	7200	0.3494254925	0.35548674999999996	0.35450279
cgp	C-PAR	7500	0.3494254925	0.35548674999999996	0.35450279
cgp	C-PAR	7800	0.35250644	0.35548674999999996	0.35450279
cgp	C-PAR	8100	0.3525875675	0.35548674999999996	0.35450279
cgp	C-PAR	8400	0.3525875675	0.35548674999999996	0.35450279
cgp	C-PAR	8700	0.3525875675	0.35548674999999996	0.35450279
cgp	C-PAR	9000	0.3525875675	0.35548674999999996	0.35450279
cgp	C-PAR	9300	0.3525875675	0.35548674999999996	0.35459349
cgp	C-PAR	9600	0.3525875675	0.35548674999999996	0.35459349
cgp	C-PAR	9900	0.3525875675	0.35548674999999996	0.35459349
cgp	C-PAR	10200	0.35287802	0.35548674999999996	0.35492741
cgp	C-PAR	10500	0.35287802	0.35651819749999997	0.3553078
cgp	C-PAR	10800	0.35287802	0.35651819749999997	0.3553078
cgp	C-PAR	11100	0.35287802	0.35651819749999997	0.3553078
cgp	C-PAR	11400	0.354236335	0.35651819749999997	0.3553078
cgp	C-PAR	11700	0.354236335	0.35651819749999997	0.3553078
cgp	C-PAR	12000	0.354236335	0.35651819749999997	0.3553078
cgp	C-PAR	12300	0.3542873875	0.35651819749999997	0.3553078
cgp	C-PAR	12600	0.3542873875	0.35849612750000004	0.3553078
cgp	C-PAR	12900	0.3542873875	0.3589091175	0.3554271
cgp	C-PAR	13200	0.3542873875	0.3589091175	0.3554271
cgp	C-PAR	13500	0.3542873875	0.3589091175	0.3554271
cgp	C-PAR	13800	0.3542873875	0.3589091175	0.3554271
cgp	C-PAR	14100	0.3542873875	0.3589091175	0.3554271
cgp	C-PAR	14400	0.3542873875	0.3589091175	0.3554271
cgp	C-PAR	14700	0.3542873875	0.3589091175	0.3554271
cgp	C-PAR	15000	0.3542873875	0.3589091175	0.3554271
cgp	C-PAR	15300	0.3542873875	0.3589091175	0.3554271
