solver	short_set_up	fitness_evaluation	avg_percentage_q1	avg_percentage_q3	avg_percentage_median
cgp	C-SEQ	0	0.029286325133095124	0.05703000289698435	0.0407407401750485
cgp	C-SEQ	5000	0.09685468859970563	0.3235586127266287	0.310110545096298
cgp	C-SEQ	10000	0.1926636267453432	0.3501842884967724	0.34702321514487267
cgp	C-SEQ	15000	0.05444239572777097	0.2860416444018483	0.1486537739789734
cgp	C-SEQ	20000	0.1639410101730997	0.3262767263998588	0.30803177707518137
cgp	C-SEQ	25000	0.09721086767967783	0.29040504417692614	0.15787882520817215
cgp	C-SEQ	30000	0.32384616819520784	0.3534094113856554	0.3397598440448443
cgp	C-SEQ	35000	0.08694068311403189	0.294728305346022	0.13722187591095758
cgp	C-SEQ	40000	0.09189708965520063	0.3218820532783866	0.2418736567875991
cgp	C-SEQ	45000	0.07304295121381674	0.1889806178708871	0.1639301190152764
cgp	C-SEQ	50000	0.1616480015218258	0.35187766825159383	0.3148870930696527
cgp	C-SEQ	55000	0.16220890043769032	0.34202645594875014	0.2883053782085577
cgp	C-SEQ	60000	0.1499490888478855	0.32561395751933253	0.3151376288539419
cgp	C-SEQ	65000	0.0675444096947709	0.352887167284886	0.2544191977164397
cgp	C-SEQ	70000	0.08701606812731669	0.3506260327994823	0.26244308892637486
cgp	C-SEQ	75000	0.14223479374777523	0.35099748956660426	0.18390111726087827
cgp	C-SEQ	80000	0.09240281023085117	0.3440718191365401	0.14494600744607544
cgp	C-SEQ	85000	0.10436594237883878	0.34275433110694087	0.17208714721103505
cgp	C-SEQ	90000	0.07906465822209907	0.4087532248425608	0.25479660586764413
cgp	C-SEQ	95000	0.0895188779880603	0.3479457592669253	0.15704758690359685
cgp	C-SEQ	100000	0.04605454159900545	0.09534776645402106	0.051362281742816096
cgp	C-SEQ	105000	0.12740108013773954	0.1801671538269147	0.14225735111782944
cgp	C-SEQ	110000	0.06795894509802257	0.17391132031722611	0.12746513945360977
cgp	C-SEQ	115000	0.10477645695209498	0.19313972272599736	0.19287442446996766
cgp	C-SEQ	120000	0.0687284272474547	0.17649440420791504	0.08461825402143094
cgp	C-SEQ	125000	0.07211671769618987	0.20608740346506232	0.15334199120601016
cgp	C-SEQ	130000	0.09664757177233693	0.21705983423938346	0.1916841206451257
cgp	C-SEQ	135000	0.0760161406360566	0.18514749842385447	0.1399957695975899
cgp	C-SEQ	140000	0.0906431338128944	0.1935064860930045	0.18651965664078785
cgp	C-SEQ	145000	0.064135184045881	0.19366153764228025	0.14663936042537284
cgp	C-SEQ	150000	0.07585577961678298	0.1932003761952122	0.1147803782174984
cgp	C-SEQ	155000	0.06405782171835497	0.19383791244278348	0.1439211195490012
cgp	C-SEQ	160000	0.06892395904287696	0.13310548352698484	0.09830331554015476
cgp	C-SEQ	165000	0.07149363495409485	0.19347663410007948	0.18101856950670475
cgp	C-SEQ	170000	0.07959896310543015	0.19343850094204146	0.15413095274319244
cgp	C-SEQ	175000	0.18287665971244374	0.2309041365903491	0.1939979859938224
cgp	C-SEQ	180000	0.07483191912372905	0.19179575440163413	0.11731000089397031
cgp	C-SEQ	185000	0.06058275761703647	0.1134023155706624	0.06489409909894064
cgp	C-SEQ	190000	0.060822971475621004	0.17758931894786648	0.07051826392610866
cgp	C-SEQ	195000	0.0624849987216293	0.1925606299191713	0.0847023362293839
cgp	C-SEQ	200000	0.02355854143388565	0.0836700337628523	0.07024851627647874
cgp	C-SEQ	205000	0.10228528967127196	0.15119362296536557	0.11681562103331085
cgp	C-SEQ	210000	0.1318549303105101	0.20784237654879684	0.20114737314482525
cgp	C-SEQ	215000	0.10270914326732353	0.2122098803520202	0.12591172071794665
cgp	C-SEQ	220000	0.12022216738356895	0.19752275183176	0.16064120860149456
cgp	C-SEQ	225000	0.10915649387364577	0.27576188153276837	0.16333576105535025
cgp	C-SEQ	230000	0.10306283955772717	0.22612899107237655	0.11596892688733829
cgp	C-SEQ	235000	0.13788559598227337	0.2368273593795796	0.1825573152552048
cgp	C-SEQ	240000	0.1263389947513739	0.2284594083515306	0.1879753076160947
cgp	C-SEQ	245000	0.11407166284819442	0.17247397142151985	0.15789560383806625
cgp	C-SEQ	250000	0.1299555771984159	0.16927080523843563	0.15009805560111994
cgp	C-SEQ	255000	0.1028395520212749	0.17019993330662442	0.12420327526827649
cgp	C-SEQ	260000	0.10334899462759489	0.19939677789807317	0.1320822167520721
cgp	C-SEQ	265000	0.10595371884604289	0.20765091975529987	0.1282552114377419
cgp	C-SEQ	270000	0.126328141738971	0.2031967298438151	0.18059968575835225
cgp	C-SEQ	275000	0.10665897636984781	0.2426310504476229	0.12820891601343945
cgp	C-SEQ	280000	0.09162340542146309	0.1882154202709595	0.16823413750777633
