solver	short_set_up	fitness_evaluation	avg_percentage_q1	avg_percentage_q3	avg_percentage_median
cgp	D-PAR	0	0.02668108625	0.057372273749999994	0.027093662499999997
cgp	D-PAR	300	0.04803102675	0.14576897249999998	0.100079252
cgp	D-PAR	600	0.04803102675	0.14576897249999998	0.100079252
cgp	D-PAR	900	0.048041470999999995	0.14576897249999998	0.100079252
cgp	D-PAR	1200	0.050458375	0.14576897249999998	0.101221655
cgp	D-PAR	1500	0.050458375	0.14576897249999998	0.101221655
cgp	D-PAR	1800	0.1046618975	0.14576897249999998	0.13286376
cgp	D-PAR	2100	0.1046618975	0.14668212	0.133472525
cgp	D-PAR	2400	0.1250564165	0.147617415	0.14727905
cgp	D-PAR	2700	0.1250564165	0.147617415	0.14727905
cgp	D-PAR	3000	0.1250564165	0.147617415	0.14727905
cgp	D-PAR	3300	0.1467230825	0.147617415	0.14727905
cgp	D-PAR	3600	0.14731061499999998	0.14844312	0.14789265000000001
cgp	D-PAR	3900	0.148167885	0.15854004	0.14844312
cgp	D-PAR	4200	0.148167885	0.15854004	0.14844312
cgp	D-PAR	4500	0.148167885	0.15854004	0.14844312
cgp	D-PAR	4800	0.14844312	0.1905143	0.16863696
cgp	D-PAR	5100	0.14844312	0.1905143	0.16863696
cgp	D-PAR	5400	0.14844312	0.19559637000000002	0.17200396
cgp	D-PAR	5700	0.14844312	0.19559637000000002	0.17200396
cgp	D-PAR	6000	0.14844312	0.19559637000000002	0.17200396
cgp	D-PAR	6300	0.14844312	0.19559637000000002	0.17200396
cgp	D-PAR	6600	0.14844312	0.19569108	0.1720671
cgp	D-PAR	6900	0.14844312	0.19569108	0.1720671
cgp	D-PAR	7200	0.14844312	0.19569108	0.1720671
cgp	D-PAR	7500	0.14844312	0.195722645	0.1720671
cgp	D-PAR	7800	0.14844312	0.195722645	0.1720671
cgp	D-PAR	8100	0.14844312	0.195722645	0.1720671
cgp	D-PAR	8400	0.1486221	0.195722645	0.17218642
cgp	D-PAR	8700	0.17869979	0.195722645	0.19219844
cgp	D-PAR	9000	0.17869979	0.195722645	0.19219844
cgp	D-PAR	9300	0.17869979	0.195722645	0.19219844
cgp	D-PAR	9600	0.17869979	0.195722645	0.19219844
cgp	D-PAR	9900	0.17869979	0.195722645	0.19219844
cgp	D-PAR	10200	0.17869979	0.195722645	0.19219844
cgp	D-PAR	10500	0.17869979	0.195722645	0.19219844
cgp	D-PAR	10800	0.17879449249999999	0.195722645	0.192261575
cgp	D-PAR	11100	0.17879449249999999	0.195722645	0.192261575
cgp	D-PAR	11400	0.17879449249999999	0.195722645	0.192261575
cgp	D-PAR	11700	0.18188973249999998	0.195722645	0.192261575
cgp	D-PAR	12000	0.18693928	0.195722645	0.19562794
cgp	D-PAR	12300	0.18703398999999998	0.195722645	0.19569108
cgp	D-PAR	12600	0.18703398999999998	0.195722645	0.19569108
cgp	D-PAR	12900	0.18703398999999998	0.195722645	0.19569108
cgp	D-PAR	13200	0.18703398999999998	0.19581734	0.19575420999999998
cgp	D-PAR	13500	0.18703398999999998	0.19581734	0.19575420999999998
cgp	D-PAR	13800	0.1872543025	0.19581734	0.19575420999999998
cgp	D-PAR	14100	0.18726192	0.19581734	0.19575420999999998
cgp	D-PAR	14400	0.19565950999999998	0.19581734	0.19575420999999998
cgp	D-PAR	14700	0.19575420500000001	0.19581734	0.19581734
cgp	D-PAR	15000	0.19575420500000001	0.19581734	0.19581734
cgp	D-PAR	15300	0.19575420500000001	0.19581734	0.19581734
cgp	D-PAR	15600	0.19575420500000001	0.19581734	0.19581734
cgp	D-PAR	15900	0.195785775	0.19581734	0.19581734
cgp	D-PAR	16200	0.195785775	0.19581734	0.19581734
cgp	D-PAR	16500	0.195785775	0.19581734	0.19581734
cgp	D-PAR	16800	0.195785775	0.19581734	0.19581734
cgp	D-PAR	17100	0.195785775	0.19581734	0.19581734
cgp	D-PAR	17400	0.195785775	0.19581734	0.19581734
cgp	D-PAR	17700	0.195785775	0.19581734	0.19581734
cgp	D-PAR	18000	0.195785775	0.19581734	0.19581734
cgp	D-PAR	18300	0.19581734	0.19581734	0.19581734
cgp	D-PAR	18600	0.19581734	0.19581734	0.19581734
cgp	D-PAR	18900	0.19581734	0.19581734	0.19581734
cgp	D-PAR	19200	0.19581734	0.19581734	0.19581734
cgp	D-PAR	19500	0.19581734	0.19581734	0.19581734
cgp	D-PAR	19800	0.19581734	0.19581734	0.19581734
cgp	D-PAR	20100	0.19581734	0.19581734	0.19581734
cgp	D-PAR	20400	0.19581734	0.19581734	0.19581734
cgp	D-PAR	20700	0.19581734	0.19581734	0.19581734
cgp	D-PAR	21000	0.19581734	0.19581734	0.19581734
cgp	D-PAR	21300	0.19581734	0.19581734	0.19581734
cgp	D-PAR	21600	0.19581734	0.19581734	0.19581734
cgp	D-PAR	21900	0.19581734	0.19581734	0.19581734
cgp	D-PAR	22200	0.19581734	0.19581734	0.19581734
cgp	D-PAR	22500	0.19581734	0.19581734	0.19581734
cgp	D-PAR	22800	0.19581734	0.19581734	0.19581734
cgp	D-PAR	23100	0.19581734	0.19581734	0.19581734
cgp	D-PAR	23400	0.19581734	0.19581734	0.19581734
cgp	D-PAR	23700	0.19581734	0.19581734	0.19581734
cgp	D-PAR	24000	0.19581734	0.19581734	0.19581734
cgp	D-PAR	24300	0.19581734	0.19581734	0.19581734
cgp	D-PAR	24600	0.19581734	0.19581734	0.19581734
cgp	D-PAR	24900	0.19581734	0.19581734	0.19581734
cgp	D-PAR	25200	0.19581734	0.19581734	0.19581734
cgp	D-PAR	25500	0.19581734	0.19581734	0.19581734
cgp	D-PAR	25800	0.19581734	0.19581734	0.19581734
cgp	D-PAR	26100	0.19581734	0.19581734	0.19581734
cgp	D-PAR	26400	0.19581734	0.19581734	0.19581734
cgp	D-PAR	26700	0.19581734	0.19581734	0.19581734
cgp	D-PAR	27000	0.19581734	0.19581734	0.19581734
cgp	D-PAR	27300	0.19581734	0.19581734	0.19581734
cgp	D-PAR	27600	0.19581734	0.19581734	0.19581734
cgp	D-PAR	27900	0.19581734	0.19581734	0.19581734
cgp	D-PAR	28200	0.19581734	0.19581734	0.19581734
cgp	D-PAR	28500	0.19581734	0.19581734	0.19581734
cgp	D-PAR	28800	0.19581734	0.19581734	0.19581734
cgp	D-PAR	29100	0.19581734	0.19743803000000001	0.19581734
cgp	D-PAR	29400	0.19581734	0.19743803000000001	0.19581734
cgp	D-PAR	29700	0.19581734	0.19743803000000001	0.19581734
cgp	D-PAR	30000	0.19581734	0.19743803000000001	0.19581734
cgp	D-PAR	30300	0.19581734	0.19743803000000001	0.19581734
cgp	D-PAR	30600	0.19581734	0.199184345	0.19581734
cgp	D-PAR	30900	0.19581734	0.19921591	0.19581734
cgp	D-PAR	31200	0.19581734	0.19921591	0.19581734
cgp	D-PAR	31500	0.19581734	0.19921591	0.19581734
cgp	D-PAR	31800	0.19581734	0.19921591	0.19581734
cgp	D-PAR	32100	0.19581734	0.19921591	0.19581734
cgp	D-PAR	32400	0.19581734	0.19921591	0.19581734
cgp	D-PAR	32700	0.19581734	0.19921591	0.19581734
cgp	D-PAR	33000	0.19581734	0.22541356499999998	0.20267067
cgp	D-PAR	33300	0.19581734	0.22541356499999998	0.20267067
cgp	D-PAR	33600	0.19581734	0.22541356499999998	0.20267067
cgp	D-PAR	33900	0.19581734	0.22541356499999998	0.20267067
cgp	D-PAR	34200	0.19581734	0.22541356499999998	0.20267067
cgp	D-PAR	34500	0.19581734	0.22541356499999998	0.20267067
cgp	D-PAR	34800	0.19581734	0.22652709999999998	0.20267067
cgp	D-PAR	35100	0.19581734	0.22652709999999998	0.20267067
cgp	D-PAR	35400	0.19581734	0.236002955	0.20267067
cgp	D-PAR	35700	0.19581734	0.236002955	0.20267067
cgp	D-PAR	36000	0.19581734	0.2679894825	0.20267067
cgp	D-PAR	36300	0.19581734	0.2679894825	0.20267067
cgp	D-PAR	36600	0.19581734	0.2679894825	0.20267067
cgp	D-PAR	36900	0.19581734	0.2679894825	0.20267067
cgp	D-PAR	37200	0.19581734	0.2679894825	0.20267067
cgp	D-PAR	37500	0.19581734	0.2679894825	0.20267067
cgp	D-PAR	37800	0.19581734	0.2679894825	0.20267067
cgp	D-PAR	38100	0.19581734	0.2679894825	0.20267067
cgp	D-PAR	38400	0.19581734	0.2679894825	0.20267067
cgp	D-PAR	38700	0.19581734	0.2679894825	0.20267067
cgp	D-PAR	39000	0.19581734	0.2679894825	0.20267067
cgp	D-PAR	39300	0.19581734	0.26802105	0.20267067
cgp	D-PAR	39600	0.19581734	0.26802105	0.20267067
cgp	D-PAR	39900	0.19581734	0.26802105	0.20267067
cgp	D-PAR	40200	0.19581734	0.26802105	0.20267067
cgp	D-PAR	40500	0.19581734	0.26802105	0.20267067
cgp	D-PAR	40800	0.19581734	0.26802105	0.20267067
cgp	D-PAR	41100	0.19581734	0.26802105	0.20267067
cgp	D-PAR	41400	0.19581734	0.26802105	0.20267067
cgp	D-PAR	41700	0.19581734	0.26802105	0.20267067
cgp	D-PAR	42000	0.19581734	0.268115745	0.20273380000000002
cgp	D-PAR	42300	0.19581734	0.268115745	0.20273380000000002
