solver	short_set_up	fitness_evaluation	avg_percentage_q1	avg_percentage_q3	avg_percentage_median
cgp	D-SEQ	0	0.0186828141643976	0.03018498277136435	0.023852158260221253
cgp	D-SEQ	5000	0.07097947453924762	0.1737790215217198	0.145521177444607
cgp	D-SEQ	10000	0.0394180292884508	0.12845256715081624	0.0653354560490697
cgp	D-SEQ	15000	0.06549267350540802	0.1838411496331294	0.14543269403899706
cgp	D-SEQ	20000	0.04425275364580252	0.14049614403241623	0.09971170003215465
cgp	D-SEQ	25000	0.037969340647881177	0.12934668932575727	0.073423436221977
cgp	D-SEQ	30000	0.036323749537890096	0.1445767013356089	0.0793221204852064
cgp	D-SEQ	35000	0.0503957744222134	0.1553604606694231	0.134831770711268
cgp	D-SEQ	40000	0.07592896791175005	0.14143068929358066	0.09468223837514715
cgp	D-SEQ	45000	0.0395673780391613	0.09657273503641285	0.0773339138055841
cgp	D-SEQ	50000	0.0395673780391613	0.13058126558704916	0.03996792870263255
cgp	D-SEQ	55000	0.03939659466656539	0.14071710353406763	0.08704337617382406
cgp	D-SEQ	60000	0.0406062410523494	0.14664073851114753	0.13654526330841082
cgp	D-SEQ	65000	0.0392024808873732	0.09611078631132833	0.0724030289954195
cgp	D-SEQ	70000	0.040234369225799996	0.17196414576998603	0.07187291615021721
cgp	D-SEQ	75000	0.044048313555928545	0.13098560859604427	0.08561640170713261
cgp	D-SEQ	80000	0.13206839693399766	0.15604247529214865	0.1454333305979768
cgp	D-SEQ	85000	0.03967395393798747	0.15636679534024245	0.11482653650455174
cgp	D-SEQ	90000	0.03642412531189615	0.18254251700515545	0.0814612694860746
cgp	D-SEQ	95000	0.058533891647433174	0.14518650667741892	0.14476589905098075
cgp	D-SEQ	100000	0.0392975552628437	0.07489891598622003	0.040388526394963195
cgp	D-SEQ	105000	0.03970978905757262	0.10955990206760663	0.06536495033651585
cgp	D-SEQ	110000	0.025967448911008724	0.18176274001598358	0.09193806947829819
cgp	D-SEQ	115000	0.03879798056247325	0.08440235489979382	0.0395701687472562
cgp	D-SEQ	120000	0.06678631113997345	0.1956910771938661	0.1904905709282805
cgp	D-SEQ	125000	0.0450962255320822	0.1596358219782511	0.15228601987473667
cgp	D-SEQ	130000	0.07257927100484562	0.16040513912836707	0.1465237235339979
cgp	D-SEQ	135000	0.043255540658719775	0.12785944125304616	0.1030572028830647
cgp	D-SEQ	140000	0.035322439235945476	0.17334595947371173	0.07070903790493806
cgp	D-SEQ	145000	0.0987263479425261	0.17301063476285589	0.14495592952395475
cgp	D-SEQ	150000	0.041712395846843706	0.14494242270787555	0.07313680540149405
cgp	D-SEQ	155000	0.05193379428237675	0.12350871902890498	0.0861018908520539
cgp	D-SEQ	160000	0.07213713973760602	0.1453695634069542	0.11592897035491959
cgp	D-SEQ	165000	0.058364381742042726	0.18263721388454235	0.11491668511492505
cgp	D-SEQ	170000	0.13434499098608885	0.1951232111314311	0.14458663684005535
cgp	D-SEQ	175000	0.03748585757178562	0.1458340916239346	0.0487881073883424
cgp	D-SEQ	180000	0.09077175675580895	0.14546425935501847	0.1442456293540696
cgp	D-SEQ	185000	0.10106313216965643	0.19565951168381918	0.1746378339982281
cgp	D-SEQ	190000	0.025786143067913724	0.11434389728431898	0.07438744317429755
cgp	D-SEQ	195000	0.04194085548321405	0.1459767261209587	0.0781546474123994
cgp	D-SEQ	200000	0.09728328313212838	0.18322377186268562	0.14191079256124794
cgp	D-SEQ	205000	0.13089394387012962	0.18879955122247338	0.14577370214586455
cgp	D-SEQ	210000	0.05129570296655095	0.1950281984172761	0.13439833039107416
cgp	D-SEQ	215000	0.08600977715104816	0.14717640091354642	0.14518016879446805
cgp	D-SEQ	220000	0.051555299820999274	0.1557130003736044	0.1363868206584205
cgp	D-SEQ	225000	0.07580201746895905	0.1454642604027564	0.0860426599780718
cgp	D-SEQ	230000	0.0335959888373812	0.14603922159100569	0.11542333794447279
cgp	D-SEQ	235000	0.05661180739601448	0.14675432552273068	0.09975235536694525
cgp	D-SEQ	240000	0.03674761826793345	0.11046796897426245	0.049009508530919704
cgp	D-SEQ	245000	0.040107228172322096	0.15678231934240702	0.14493611315265292
cgp	D-SEQ	250000	0.03944997210055583	0.1956595115674038	0.1702146637253463
cgp	D-SEQ	255000	0.0859768943240245	0.18340560064340627	0.10565542367597415
cgp	D-SEQ	260000	0.027315717617360225	0.0794857813743874	0.04012118652462955
cgp	D-SEQ	265000	0.03540464739004763	0.12714584338633966	0.05431958163777979
cgp	D-SEQ	270000	0.09553388071556883	0.14719454680259025	0.1333086190279573
cgp	D-SEQ	275000	0.04553472068315985	0.144504615260909	0.08973970985971386
cgp	D-SEQ	280000	0.048265926695118325	0.14546425935501847	0.11567259742878375
cgp	D-SEQ	285000	0.08766561463320005	0.16175190204133585	0.14682314001644645
cgp	D-SEQ	290000	0.06019328949817763	0.14511703824003536	0.0900553661243369
cgp	D-SEQ	295000	0.04561656903630735	0.1453695634069542	0.11349382127324739
cgp	D-SEQ	300000	0.03569191438145927	0.12512224904882405	0.049921506317332345
cgp	D-SEQ	305000	0.029396989887269777	0.12386179319582877	0.0389749008851746
cgp	D-SEQ	310000	0.06094567632923523	0.1452445724668602	0.12008779589086771
cgp	D-SEQ	315000	0.07607600574071205	0.1952807235841949	0.1228215082858999
cgp	D-SEQ	320000	0.04184240145453555	0.14488340324411786	0.10631086366871989
cgp	D-SEQ	325000	0.08601394947618243	0.14068227723085627	0.1258581516643365
cgp	D-SEQ	330000	0.1012515048108374	0.1450277247155706	0.13302336113216973
cgp	D-SEQ	335000	0.0328757700044661	0.1282891451070706	0.0894738355806718
cgp	D-SEQ	340000	0.05213279183953992	0.15576459967996922	0.1149528021148095
cgp	D-SEQ	345000	0.07480926485732192	0.186310616438277	0.11620299929442504
cgp	D-SEQ	350000	0.038846786754826626	0.1557442481086279	0.10239122078443565
cgp	D-SEQ	355000	0.0388854045886546	0.1248278732333953	0.04240754890876505
cgp	D-SEQ	360000	0.0445309634087607	0.13989024725742635	0.1160133409624298
cgp	D-SEQ	365000	0.07592733499283591	0.14064175678261867	0.09277340024709696
cgp	D-SEQ	370000	0.0370781956395755	0.14402913317705193	0.043677587760612355
cgp	D-SEQ	375000	0.04404633604766173	0.14552770861579725	0.11526349823301035
cgp	D-SEQ	380000	0.0576540644979104	0.14522524193550146	0.1437412148031095
cgp	D-SEQ	385000	0.09151113378660133	0.186558891669847	0.1454580461916824
cgp	D-SEQ	390000	0.08444857752571498	0.15454038096747044	0.13581211841665206
cgp	D-SEQ	395000	0.0768228376594682	0.1448869745169455	0.11524207711530225
