solver	short_set_up	fitness_evaluation	avg_percentage_q1	avg_percentage_q3	avg_percentage_median
lgp	C-GRAD	0	0.041809186	0.064923851	0.0474439515
lgp	C-GRAD	300	0.051828914	0.32004849	0.104497882
lgp	C-GRAD	600	0.13229295	0.32262952	0.32093183999999997
lgp	C-GRAD	900	0.32058084	0.32262952	0.32093183999999997
lgp	C-GRAD	1200	0.32063702499999996	0.33044739	0.32213442
lgp	C-GRAD	1500	0.32099535999999995	0.33266062	0.32815079999999996
lgp	C-GRAD	1800	0.321755915	0.33319567	0.33257726
lgp	C-GRAD	2100	0.32178402	0.33319567	0.33257726
lgp	C-GRAD	2400	0.3280459725	0.3520845325	0.335901235
lgp	C-GRAD	2700	0.3280876525	0.3520845325	0.33625513500000004
lgp	C-GRAD	3000	0.33283757	0.3735144325	0.343861285
lgp	C-GRAD	3300	0.3340821475	0.3745742875	0.343861285
lgp	C-GRAD	3600	0.3340821475	0.4021641875	0.34619716
lgp	C-GRAD	3900	0.33458656	0.4074047375	0.34619716
lgp	C-GRAD	4200	0.33458656	0.4094048625	0.34619716
lgp	C-GRAD	4500	0.33458656	0.4094048625	0.34619716
lgp	C-GRAD	4800	0.34042716250000005	0.41906010000000005	0.363174035
lgp	C-GRAD	5100	0.34266950500000004	0.41906010000000005	0.36318056
lgp	C-GRAD	5400	0.34266950500000004	0.41906010000000005	0.36318056
lgp	C-GRAD	5700	0.34266950500000004	0.42044383	0.36318056
lgp	C-GRAD	6000	0.34285909	0.42044383	0.36318056
lgp	C-GRAD	6300	0.34285909	0.42044383	0.36318056
lgp	C-GRAD	6600	0.34285909	0.42044383	0.36318056
lgp	C-GRAD	6900	0.34285909	0.42044383	0.36318056
lgp	C-GRAD	7200	0.34285909	0.42044383	0.36406251
lgp	C-GRAD	7500	0.34285909	0.42044383	0.36406251
lgp	C-GRAD	7800	0.3431130475	0.42044383	0.36406251
lgp	C-GRAD	8100	0.347584915	0.4320427575	0.36406251
lgp	C-GRAD	8400	0.347584915	0.43484045250000003	0.36446418999999997
lgp	C-GRAD	8700	0.347584915	0.43484045250000003	0.36446418999999997
lgp	C-GRAD	9000	0.347584915	0.43484045250000003	0.36446418999999997
lgp	C-GRAD	9300	0.347584915	0.438352055	0.36446418999999997
lgp	C-GRAD	9600	0.347584915	0.438352055	0.36446418999999997
lgp	C-GRAD	9900	0.347584915	0.4584704825	0.36446418999999997
lgp	C-GRAD	10200	0.347584915	0.4584704825	0.36446418999999997
lgp	C-GRAD	10500	0.347584915	0.4584704825	0.36446418999999997
lgp	C-GRAD	10800	0.347584915	0.4584704825	0.36446418999999997
lgp	C-GRAD	11100	0.347584915	0.4584704825	0.36446418999999997
lgp	C-GRAD	11400	0.347584915	0.4751548775	0.36446418999999997
lgp	C-GRAD	11700	0.347584915	0.4751548775	0.36446418999999997
lgp	C-GRAD	12000	0.347584915	0.4751548775	0.36467803
lgp	C-GRAD	12300	0.34873173999999996	0.4751548775	0.36515010000000003
lgp	C-GRAD	12600	0.34873173999999996	0.4751548775	0.36616399
lgp	C-GRAD	12900	0.34873173999999996	0.4751548775	0.36616399
lgp	C-GRAD	13200	0.3534000575	0.47674939250000004	0.37605480999999996
lgp	C-GRAD	13500	0.3534000575	0.47674939250000004	0.37605480999999996
lgp	C-GRAD	13800	0.3534000575	0.47674939250000004	0.37605480999999996
lgp	C-GRAD	14100	0.3534000575	0.47680907250000004	0.37605480999999996
lgp	C-GRAD	14400	0.3534000575	0.4826919725	0.37605480999999996
lgp	C-GRAD	14700	0.3534000575	0.4826919725	0.40512189
lgp	C-GRAD	15000	0.3534000575	0.4826919725	0.40512189
lgp	C-GRAD	15300	0.35425314	0.4826919725	0.40512189
lgp	C-GRAD	15600	0.35425314	0.48289832	0.420544415
lgp	C-GRAD	15900	0.35425314	0.4838354575	0.42403389
lgp	C-GRAD	16200	0.35425314	0.4838354575	0.42403389
lgp	C-GRAD	16500	0.35425314	0.48735695749999997	0.425908165
lgp	C-GRAD	16800	0.35425314	0.48735695749999997	0.425908165
lgp	C-GRAD	17100	0.35425314	0.48735695749999997	0.425908165
lgp	C-GRAD	17400	0.35425314	0.48735695749999997	0.425908165
lgp	C-GRAD	17700	0.35425314	0.48735695749999997	0.425908165
lgp	C-GRAD	18000	0.35425314	0.48735695749999997	0.425908165
lgp	C-GRAD	18300	0.35425314	0.48735695749999997	0.425908165
lgp	C-GRAD	18600	0.35425314	0.48735695749999997	0.425908165
lgp	C-GRAD	18900	0.35810965	0.48735695749999997	0.425908165
lgp	C-GRAD	19200	0.35810965	0.48735695749999997	0.425908165
lgp	C-GRAD	19500	0.35810965	0.48973378749999996	0.425908165
lgp	C-GRAD	19800	0.35810965	0.490486505	0.43301077
lgp	C-GRAD	20100	0.35846141000000004	0.490486505	0.43301077
lgp	C-GRAD	20400	0.35846141000000004	0.490486505	0.43301077
lgp	C-GRAD	20700	0.35846141000000004	0.490486505	0.43301077
lgp	C-GRAD	21000	0.3589415225	0.491347655	0.43301077
lgp	C-GRAD	21300	0.3589415225	0.491347655	0.43301077
lgp	C-GRAD	21600	0.3589415225	0.49194011	0.43301077
lgp	C-GRAD	21900	0.3589415225	0.49194011	0.43301077
lgp	C-GRAD	22200	0.3589415225	0.49194011	0.43301077
lgp	C-GRAD	22500	0.3589415225	0.49194011	0.43301077
lgp	C-GRAD	22800	0.3589415225	0.49194011	0.43301077
lgp	C-GRAD	23100	0.3589415225	0.49194011	0.43301077
lgp	C-GRAD	23400	0.3589415225	0.49194011	0.43301077
lgp	C-GRAD	23700	0.3589415225	0.49194011	0.43301077
lgp	C-GRAD	24000	0.3589415225	0.49194011	0.43301077
lgp	C-GRAD	24300	0.3589415225	0.49194011	0.43301077
lgp	C-GRAD	24600	0.3589415225	0.49194011	0.43301078
lgp	C-GRAD	24900	0.3589415225	0.49194011	0.43301078
lgp	C-GRAD	25200	0.3589415225	0.49194011	0.43301078
lgp	C-GRAD	25500	0.3589415225	0.49194011	0.43301078
lgp	C-GRAD	25800	0.3617518875	0.49194011	0.46063643
lgp	C-GRAD	26100	0.3617518875	0.49194011	0.46063643
lgp	C-GRAD	26400	0.36178705749999995	0.49194011	0.46063643
lgp	C-GRAD	26700	0.36178705749999995	0.492217285	0.46063643
lgp	C-GRAD	27000	0.36178705749999995	0.492217285	0.46063643
lgp	C-GRAD	27300	0.36178705749999995	0.492217285	0.46206608
lgp	C-GRAD	27600	0.36178705749999995	0.4975448675	0.46206608
lgp	C-GRAD	27900	0.36178705749999995	0.4975448675	0.463510945
lgp	C-GRAD	28200	0.36178705749999995	0.4975448675	0.463510945
lgp	C-GRAD	28500	0.36178705749999995	0.5079827475	0.46602495
lgp	C-GRAD	28800	0.36178705749999995	0.5079827475	0.46602495
lgp	C-GRAD	29100	0.36178705749999995	0.5079827475	0.46602495
lgp	C-GRAD	29400	0.36178705749999995	0.5079827475	0.46620123
lgp	C-GRAD	29700	0.36236592999999995	0.5209704775	0.46620123
lgp	C-GRAD	30000	0.36236592999999995	0.5209704775	0.46620123
lgp	C-GRAD	30300	0.36236592999999995	0.5209704775	0.46620123
lgp	C-GRAD	30600	0.36236592999999995	0.5209704775	0.466213435
lgp	C-GRAD	30900	0.36236592999999995	0.5209704775	0.466213435
lgp	C-GRAD	31200	0.36236592999999995	0.5209704775	0.466213435
lgp	C-GRAD	31500	0.36236592999999995	0.5209704775	0.466213435
lgp	C-GRAD	31800	0.36236592999999995	0.5209704775	0.467884745
lgp	C-GRAD	32100	0.36236592999999995	0.5209704775	0.467884745
lgp	C-GRAD	32400	0.36236592999999995	0.5209704775	0.467884745
lgp	C-GRAD	32700	0.36236592999999995	0.5209704775	0.467884745
lgp	C-GRAD	33000	0.36236592999999995	0.5209704775	0.467884745
lgp	C-GRAD	33300	0.36236592999999995	0.5209704775	0.467884745
lgp	C-GRAD	33600	0.36236592999999995	0.5209704775	0.467884745
lgp	C-GRAD	33900	0.36236592999999995	0.5209704775	0.467884745
lgp	C-GRAD	34200	0.36236592999999995	0.5209704775	0.467884745
lgp	C-GRAD	34500	0.36236592999999995	0.5209704775	0.468123365
lgp	C-GRAD	34800	0.36236592999999995	0.5209704775	0.468123365
lgp	C-GRAD	35100	0.36236592999999995	0.5209704775	0.468123365
lgp	C-GRAD	35400	0.3626182725	0.5211653575	0.468123365
lgp	C-GRAD	35700	0.3626182725	0.5211653575	0.468123365
lgp	C-GRAD	36000	0.3626182725	0.52407949	0.468123365
lgp	C-GRAD	36300	0.3626182725	0.52407949	0.468123365
lgp	C-GRAD	36600	0.3626182725	0.5289327275	0.48301398000000006
lgp	C-GRAD	36900	0.3626182725	0.5356153925	0.48301398000000006
lgp	C-GRAD	37200	0.3626182725	0.5356153925	0.48301398000000006
lgp	C-GRAD	37500	0.3626182725	0.5356153925	0.48301398000000006
lgp	C-GRAD	37800	0.3626182725	0.5363618450000001	0.48301398000000006
lgp	C-GRAD	38100	0.3626182725	0.5363618450000001	0.48301398000000006
lgp	C-GRAD	38400	0.3626182725	0.5363618450000001	0.48301398000000006
lgp	C-GRAD	38700	0.3626182725	0.5363618450000001	0.48301398000000006
lgp	C-GRAD	39000	0.3626232425	0.5363618450000001	0.48301398000000006
lgp	C-GRAD	39300	0.3626232425	0.5363618450000001	0.48301398000000006
lgp	C-GRAD	39600	0.3626232425	0.5363618450000001	0.48301398000000006
lgp	C-GRAD	39900	0.3626232425	0.5363618450000001	0.4950918
lgp	C-GRAD	40200	0.3626232425	0.5363618450000001	0.4950918
lgp	C-GRAD	40500	0.0737825825	0.27046412999999997	0.189803095
lgp	C-GRAD	40800	0.0737825825	0.27046412999999997	0.189803095
lgp	C-GRAD	41100	0.0978612925	0.27046412999999997	0.20758974000000002
lgp	C-GRAD	41400	0.0978612925	0.27620568	0.20758974000000002
lgp	C-GRAD	41700	0.103771072	0.27620568	0.20758974000000002
lgp	C-GRAD	42000	0.103771072	0.27620568	0.20758974000000002
lgp	C-GRAD	42300	0.105698755	0.27620568	0.214520345
lgp	C-GRAD	42600	0.105698755	0.27620568	0.214520345
lgp	C-GRAD	42900	0.1564778275	0.27620568	0.214520345
lgp	C-GRAD	43200	0.1564778275	0.27620568	0.214520345
lgp	C-GRAD	43500	0.1564778275	0.27620568	0.21604983500000002
lgp	C-GRAD	43800	0.15765595000000002	0.28820274749999997	0.21604983500000002
lgp	C-GRAD	44100	0.15765595000000002	0.28820274749999997	0.227404985
lgp	C-GRAD	44400	0.15765595000000002	0.28820274749999997	0.227404985
lgp	C-GRAD	44700	0.15765595000000002	0.28820274749999997	0.227404985
lgp	C-GRAD	45000	0.15765595000000002	0.28820274749999997	0.22757924000000002
lgp	C-GRAD	45300	0.15765595000000002	0.28820274749999997	0.22757924000000002
lgp	C-GRAD	45600	0.15765595000000002	0.28820274749999997	0.22757924000000002
lgp	C-GRAD	45900	0.15765595000000002	0.28820274749999997	0.229850915
lgp	C-GRAD	46200	0.15765595000000002	0.28820274749999997	0.229850915
