solver	short_set_up	fitness_evaluation	avg_percentage_q1	avg_percentage_q3	avg_percentage_median
lgp	D-PAR	0	0.027382305	0.040137023	0.028158084
lgp	D-PAR	300	0.027467173	0.055329125	0.03920248
lgp	D-PAR	600	0.028158084	0.061491422	0.057251267
lgp	D-PAR	900	0.041062713	0.121281564	0.060044196
lgp	D-PAR	1200	0.08266165	0.1887058	0.14582187
lgp	D-PAR	1500	0.14461327	0.18895707	0.14734218
lgp	D-PAR	1800	0.14461327	0.1955648	0.18424241
lgp	D-PAR	2100	0.18424241	0.1955648	0.1955648
lgp	D-PAR	2400	0.1955648	0.19569108	0.19569108
lgp	D-PAR	2700	0.1955648	0.19581734	0.19569108
lgp	D-PAR	3000	0.19569108	0.19581734	0.19569108
lgp	D-PAR	3300	0.19569108	0.19581734	0.19569108
lgp	D-PAR	3600	0.19569108	0.19581734	0.19569108
lgp	D-PAR	3900	0.19569108	0.19581734	0.19569108
lgp	D-PAR	4200	0.19569108	0.19581734	0.19581734
lgp	D-PAR	4500	0.19569108	0.19581734	0.19581734
lgp	D-PAR	4800	0.19569108	0.19581734	0.19581734
lgp	D-PAR	5100	0.19569108	0.19581734	0.19581734
lgp	D-PAR	5400	0.19569108	0.19581734	0.19581734
lgp	D-PAR	5700	0.19569108	0.19581734	0.19581734
lgp	D-PAR	6000	0.19569108	0.19581734	0.19581734
lgp	D-PAR	6300	0.19569108	0.20963638	0.19581734
lgp	D-PAR	6600	0.19569108	0.20963638	0.19581734
lgp	D-PAR	6900	0.19569108	0.20963638	0.19581734
lgp	D-PAR	7200	0.19569108	0.20976263	0.19581734
lgp	D-PAR	7500	0.19569108	0.20976263	0.19581734
lgp	D-PAR	7800	0.19569108	0.20976263	0.19581734
lgp	D-PAR	8100	0.19569108	0.20976263	0.19581734
lgp	D-PAR	8400	0.19569108	0.20976263	0.19581734
lgp	D-PAR	8700	0.19569108	0.20976263	0.19581734
lgp	D-PAR	9000	0.19569108	0.20976263	0.19581734
lgp	D-PAR	9300	0.19569108	0.20976263	0.19581734
lgp	D-PAR	9600	0.19581734	0.20976263	0.19581734
lgp	D-PAR	9900	0.19581734	0.20976263	0.19581734
lgp	D-PAR	10200	0.19581734	0.20976263	0.19581734
lgp	D-PAR	10500	0.19581734	0.20976263	0.19581734
lgp	D-PAR	10800	0.19581734	0.20976263	0.19581734
lgp	D-PAR	11100	0.19581734	0.20976263	0.19581734
lgp	D-PAR	11400	0.19581734	0.20976263	0.19581734
lgp	D-PAR	11700	0.19581734	0.20976263	0.19581734
lgp	D-PAR	12000	0.19581734	0.20976263	0.19581734
lgp	D-PAR	12300	0.19581734	0.20976263	0.19581734
lgp	D-PAR	12600	0.19581734	0.20976263	0.19581734
lgp	D-PAR	12900	0.19581734	0.20976263	0.19581734
lgp	D-PAR	13200	0.19581734	0.20976263	0.19581734
lgp	D-PAR	13500	0.19581734	0.20976263	0.19581734
lgp	D-PAR	13800	0.19581734	0.20976263	0.19581734
lgp	D-PAR	14100	0.19581734	0.20976263	0.19581734
lgp	D-PAR	14400	0.19581734	0.20976263	0.19581734
lgp	D-PAR	14700	0.19581734	0.20976263	0.19581734
lgp	D-PAR	15000	0.19581734	0.20976263	0.19581734
lgp	D-PAR	15300	0.19581734	0.20976263	0.19581734
lgp	D-PAR	15600	0.19581734	0.20976263	0.19581734
lgp	D-PAR	15900	0.19581734	0.28503653	0.209524
lgp	D-PAR	16200	0.19581734	0.28503653	0.209524
lgp	D-PAR	16500	0.19581734	0.28503653	0.209524
lgp	D-PAR	16800	0.19581734	0.28503653	0.209524
lgp	D-PAR	17100	0.19581734	0.28503653	0.209524
lgp	D-PAR	17400	0.19581734	0.28535327	0.20976263
lgp	D-PAR	17700	0.19581734	0.28535327	0.20976263
lgp	D-PAR	18000	0.19581734	0.2855416	0.20976263
lgp	D-PAR	18300	0.19581734	0.2855416	0.20976263
lgp	D-PAR	18600	0.19581734	0.28653872	0.20976263
lgp	D-PAR	18900	0.19581734	0.28653872	0.20976263
lgp	D-PAR	19200	0.19581734	0.28653872	0.20976263
lgp	D-PAR	19500	0.19581734	0.28653872	0.20976263
lgp	D-PAR	19800	0.19581734	0.28653872	0.20976263
lgp	D-PAR	20100	0.19581734	0.28653872	0.20976263
lgp	D-PAR	20400	0.19581734	0.28653872	0.20976263
lgp	D-PAR	20700	0.19581734	0.28653872	0.20976263
lgp	D-PAR	21000	0.19581734	0.28653872	0.20976263
lgp	D-PAR	21300	0.19581734	0.28653872	0.20976263
lgp	D-PAR	21600	0.19581734	0.28653872	0.20976263
lgp	D-PAR	21900	0.19581734	0.28653872	0.2098889
lgp	D-PAR	22200	0.19581734	0.28653872	0.2098889
lgp	D-PAR	22500	0.19581734	0.28653872	0.2098889
lgp	D-PAR	22800	0.19581734	0.28653872	0.2098889
lgp	D-PAR	23100	0.19581734	0.2867609	0.2098889
lgp	D-PAR	23400	0.19581734	0.2867609	0.2098889
lgp	D-PAR	23700	0.19581734	0.29033798	0.2098889
lgp	D-PAR	24000	0.19581734	0.29033798	0.2098889
lgp	D-PAR	24300	0.19581734	0.29033798	0.2098889
lgp	D-PAR	24600	0.19581734	0.29033798	0.2098889
lgp	D-PAR	24900	0.19581734	0.29033798	0.2098889
lgp	D-PAR	25200	0.19581734	0.29033798	0.2098889
lgp	D-PAR	25500	0.19581734	0.29033798	0.2098889
lgp	D-PAR	25800	0.19581734	0.29033798	0.2098889
lgp	D-PAR	26100	0.19581734	0.29033798	0.2098889
lgp	D-PAR	26400	0.19581734	0.2909693	0.2098889
lgp	D-PAR	26700	0.19581734	0.2909693	0.2098889
lgp	D-PAR	27000	0.19581734	0.2909693	0.2098889
lgp	D-PAR	27300	0.19581734	0.29212642	0.2098889
lgp	D-PAR	27600	0.19581734	0.29212642	0.2098889
lgp	D-PAR	27900	0.19581734	0.29212642	0.2098889
lgp	D-PAR	28200	0.19581734	0.29212642	0.2098889
lgp	D-PAR	28500	0.19581734	0.29212642	0.2098889
lgp	D-PAR	28800	0.19581734	0.29212642	0.2098889
lgp	D-PAR	29100	0.19581734	0.29212642	0.2098889
lgp	D-PAR	29400	0.19581734	0.29212642	0.2098889
lgp	D-PAR	29700	0.19581734	0.29212642	0.2098889
lgp	D-PAR	30000	0.19581734	0.29212642	0.2098889
lgp	D-PAR	30300	0.19581734	0.29212642	0.2098889
lgp	D-PAR	30600	0.19581734	0.29212642	0.2098889
lgp	D-PAR	30900	0.19581734	0.29212642	0.2098889
lgp	D-PAR	31200	0.19581734	0.29212642	0.2098889
lgp	D-PAR	31500	0.19581734	0.29212642	0.2098889
lgp	D-PAR	31800	0.19581734	0.29212642	0.2098889
lgp	D-PAR	32100	0.19581734	0.29212642	0.2098889
lgp	D-PAR	32400	0.19581734	0.29212642	0.2098889
lgp	D-PAR	32700	0.19581734	0.29212642	0.2098889
lgp	D-PAR	33000	0.19581734	0.29212642	0.2098889
lgp	D-PAR	33300	0.19581734	0.29212642	0.2098889
lgp	D-PAR	33600	0.19581734	0.29212642	0.2098889
lgp	D-PAR	33900	0.19581734	0.29212642	0.2098889
lgp	D-PAR	34200	0.19581734	0.29212642	0.2098889
lgp	D-PAR	34500	0.19581734	0.29212642	0.2098889
lgp	D-PAR	34800	0.19581734	0.29212642	0.2098889
lgp	D-PAR	35100	0.19581734	0.29212642	0.2098889
lgp	D-PAR	35400	0.19581734	0.29212642	0.2098889
lgp	D-PAR	35700	0.19581734	0.29212642	0.2098889
lgp	D-PAR	36000	0.19581734	0.2957178	0.21506578
lgp	D-PAR	36300	0.19581734	0.2957178	0.21513411
lgp	D-PAR	36600	0.19581734	0.2957178	0.21513411
lgp	D-PAR	36900	0.19581734	0.2957178	0.21513411
lgp	D-PAR	37200	0.19581734	0.2957178	0.21513411
lgp	D-PAR	37500	0.19581734	0.2957178	0.21513411
lgp	D-PAR	37800	0.19581734	0.2957178	0.21513411
lgp	D-PAR	38100	0.19581734	0.2957178	0.21513411
lgp	D-PAR	38400	0.19581734	0.2957178	0.21513411
lgp	D-PAR	38700	0.19581734	0.2957178	0.21513411
lgp	D-PAR	39000	0.19581734	0.2957178	0.21513411
lgp	D-PAR	39300	0.19581734	0.2957178	0.21513411
lgp	D-PAR	39600	0.19581734	0.2957178	0.21513411
lgp	D-PAR	39900	0.19581734	0.2957178	0.21513411
lgp	D-PAR	40200	0.19581734	0.2957178	0.21513411
lgp	D-PAR	40500	0.19581734	0.2957178	0.21513411
lgp	D-PAR	40800	0.19581734	0.2957178	0.21513411
lgp	D-PAR	41100	0.19581734	0.2957178	0.21513411
lgp	D-PAR	41400	0.19581734	0.2957178	0.21513411
lgp	D-PAR	41700	0.19581734	0.2957178	0.21513411
lgp	D-PAR	42000	0.19581734	0.2957178	0.21557593
lgp	D-PAR	42300	0.19581734	0.29584408	0.21557593
lgp	D-PAR	42600	0.19581734	0.29584408	0.21557593
lgp	D-PAR	42900	0.19581734	0.29584408	0.21557593
lgp	D-PAR	43200	0.19581734	0.29584408	0.21557593
lgp	D-PAR	43500	0.19581734	0.29584408	0.21557593
lgp	D-PAR	43800	0.19581734	0.29584408	0.21557593
lgp	D-PAR	44100	0.19581734	0.29584408	0.21557593
lgp	D-PAR	44400	0.19581734	0.29584408	0.21842271
lgp	D-PAR	44700	0.19581734	0.29584408	0.21842271
lgp	D-PAR	45000	0.19581734	0.29584408	0.21842271
lgp	D-PAR	45300	0.19581734	0.29584408	0.21842271
lgp	D-PAR	45600	0.19581734	0.29584408	0.21842271
lgp	D-PAR	45900	0.19581734	0.29584408	0.21842271
lgp	D-PAR	46200	0.19581734	0.29584408	0.21842271
lgp	D-PAR	46500	0.20927274	0.29584408	0.21842271
lgp	D-PAR	46800	0.20927274	0.29584408	0.21842271
lgp	D-PAR	47100	0.20927274	0.29584408	0.2217543
lgp	D-PAR	47400	0.20927274	0.29584408	0.2217543
lgp	D-PAR	47700	0.20927274	0.29584408	0.2217543
lgp	D-PAR	48000	0.20927274	0.29584408	0.2217543
lgp	D-PAR	48300	0.20927274	0.29584408	0.2217543
lgp	D-PAR	48600	0.20927274	0.29584408	0.2217543
lgp	D-PAR	48900	0.20927274	0.29584408	0.2217543
lgp	D-PAR	49200	0.20927274	0.29584408	0.2217543
lgp	D-PAR	49500	0.20927274	0.29584408	0.2217543
lgp	D-PAR	49800	0.21010129	0.29584408	0.28611273
lgp	D-PAR	50100	0.21010129	0.29584408	0.28611273
lgp	D-PAR	50400	0.21010129	0.29584408	0.28611273
lgp	D-PAR	50700	0.21010129	0.29584408	0.28611273
lgp	D-PAR	51000	0.21010129	0.29584408	0.28611273
lgp	D-PAR	51300	0.21010129	0.29584408	0.28611273
lgp	D-PAR	51600	0.21010129	0.29584408	0.28611273
lgp	D-PAR	51900	0.21010129	0.29584408	0.28611273
lgp	D-PAR	52200	0.21010129	0.29584408	0.28611273
lgp	D-PAR	52500	0.21010129	0.29584408	0.28611273
lgp	D-PAR	52800	0.21010129	0.29584408	0.28611273
lgp	D-PAR	53100	0.21010129	0.29584408	0.28611273
lgp	D-PAR	53400	0.21022753	0.29584408	0.28611273
lgp	D-PAR	53700	0.21022753	0.29584408	0.2907048
lgp	D-PAR	54000	0.21022753	0.29584408	0.2907048
lgp	D-PAR	54300	0.21022753	0.29584408	0.2907048
lgp	D-PAR	54600	0.21022753	0.29584408	0.2907048
lgp	D-PAR	54900	0.21022753	0.29584408	0.2907048
lgp	D-PAR	55200	0.21022753	0.29584408	0.2907048
