res_0_0_100	res_0_10_90	res_0_25_75	res_0_50_50	res_10_0_90	res_10_10_80	res_10_20_70	res_25_0_75	res_33_33_33	res_50_0_50
1	40	24	5	25	3	1	2	10	4
2	17	8	1	11	1	14	11	1	1
7	1	4	22	1	32	4	21	22	3
3	6	1	1	23	6	1	7	1	1
13	3	1	2	1	2	6	8	2	25
2	27	2	13	61	7	3	2	1	18
3	4	7	1	3	4	5	28	26	5
8	19	3	6	2	2	7	11	4	18
8	17	4	1	1	1	45	8	6	3
6	22	9	2	1	21	28	4	2	1
15	1	24	7	5	19	28	14	12	4
1	1	1	48	1	4	15	1	5	8
2	1	3	12	1	4	9	7	12	1
42	1	2	4	1	1	14	14	2	15
13	2	5	34	5	4	12	4	3	1
1	3	1	2	12	25	1	16	19	11
82	8	8	9	28	7	4	21	1	9
5	3	1	8	1	2	15	35	4	3
4	1	20	5	2	44	3	7	7	7
5	2	3	5	1	6	2	1	17	1
3	21	1	11	1	2	1	20	1	14
8	19	27	5	1	3	5	56	9	8
38	6	20	6	35	10	1	7	14	4
1	6	3	35	11	7	1	1	1	1
2	1	1	7	2	19	11	2	6	2
61	13	3	2	1	18	6	4	2	13
1	13	6	3	2	1	4	4	4	1
40	3	3	15	2	4	44	15		5
15	1	21	1	5			2		29
