generation,max_fitness,mean_fitness,max_dead_time,eval_time,percentage
0,9.5,-155.35599,42,0.1539820910000005,0.56
1,9.8,-129.78801,42,0.09661816900000009,0.59999996
2,10.1,-129.73999,42,0.10061213400000035,0.59999996
3,9.5,-128.35599,42,0.10034913200000073,0.59999996
4,9.5,-81.352,42,0.11284024199999987,0.76
5,10.1,-96.064,42,0.126401145,0.68
6,9.8,-99.967995,42,0.12637419799999972,0.64
7,10.4,-66.796,42,0.09683109400000056,0.71999997
8,10.1,-125.66,42,0.11211580900000051,0.59999996
9,10.1,-95.448,42,0.12494554999999963,0.68
10,9.8,-111.395996,42,0.1091583199999997,0.56
11,9.8,-81.715996,42,0.12045579000000028,0.68
12,10.1,-109.384,42,0.11140314999999923,0.64
13,9.8,-80.128,42,0.09640720799999958,0.76
14,9.8,-80.56,42,0.10015096700000026,0.71999997
15,10.4,-81.752,42,0.10887977500000012,0.68
16,10.1,-96.908005,42,0.09738890099999953,0.68
17,9.8,-143.32799,42,0.09704190600000029,0.56
18,10.1,-51.192,42,0.1157411469999996,0.84
19,10.4,-126.95599,42,0.11547689400000039,0.59999996
20,-330.3,-375.78,42,0.09836471100000033,0.0
21,-330.3,-365.836,42,0.12185152899999885,0.0
22,-330.3,-351.468,42,0.10478752199999875,0.0
23,-330.3,-351.93597,42,0.10307697700000062,0.0
24,-330.3,-354.716,42,0.11236018399999992,0.0
25,-1.9,-341.696,42,0.11736074899999949,0.0
26,-0.6,-321.256,42,0.1014055599999999,0.0
27,-0.6,-288.55197,42,0.11516890300000071,0.0
28,-0.6,-200.984,42,0.12045349899999991,0.0
29,-0.6,-236.30002,42,0.09907976399999896,0.0
30,10.7,-150.79599,42,0.12107857099999997,0.04
31,10.7,-250.628,42,0.09916560399999952,0.08
32,10.7,-207.024,42,0.09810347099999994,0.19999999
33,10.7,-230.22,42,0.11457186600000036,0.28
34,10.7,-126.724,42,0.10064640000000047,0.52
35,10.7,-158.45999,42,0.11349329599999969,0.48
36,10.7,-214.02402,42,0.10965906800000091,0.39999998
37,10.7,-218.816,42,0.12240311800000114,0.28
38,10.7,-204.04,42,0.09513988299999987,0.35999998
39,10.7,-189.4,42,0.11477472499999841,0.35999998
40,10.7,-113.507996,42,0.11731991099999917,0.39999998
41,10.7,-213.81999,42,0.09910426599999944,0.32
42,10.7,-234.76402,42,0.11473606599999897,0.32
43,10.7,-194.63597,42,0.11959804399999996,0.39999998
44,10.7,-188.016,42,0.09698088200000043,0.35999998
45,10.7,-189.71599,42,0.09562960700000112,0.32
46,10.7,-185.91602,42,0.09613780599999977,0.35999998
47,10.7,-157.592,42,0.10296854300000113,0.39999998
48,10.7,-198.456,42,0.11227264299999895,0.39999998
49,10.7,-202.98799,42,0.09380500299999994,0.32
50,10.7,-206.72,42,0.11563609900000138,0.24
51,10.7,-142.20801,42,0.11164060599999992,0.44
52,10.7,-167.188,42,0.10547888200000166,0.48
53,10.7,-202.676,42,0.12254850800000128,0.32
54,10.7,-274.99597,42,0.1118488150000001,0.24
55,10.7,-182.75198,42,0.11519668399999894,0.39999998
56,10.7,-187.3,42,0.1079956890000009,0.39999998
57,10.7,-200.572,42,0.09990232200000015,0.28
58,10.7,-231.34798,42,0.11224587700000122,0.28
59,10.7,-237.22,42,0.12512860000000003,0.28
60,10.7,-198.888,42,0.1244502470000004,0.35999998
61,10.7,-189.864,42,0.0936759630000008,0.35999998
62,10.7,-245.596,42,0.11455411399999882,0.28
63,10.7,-258.98398,42,0.10086907200000006,0.24
64,10.7,-290.08,42,0.09531261799999946,0.19999999
65,10.7,-176.70801,42,0.09408233200000105,0.28
66,10.7,-202.21997,42,0.10827883599999844,0.28
67,10.7,-211.508,42,0.11197908900000009,0.35999998
68,10.7,-158.308,42,0.09296219500000014,0.35999998
69,10.7,-244.248,42,0.10790717699999952,0.24
70,10.7,-170.724,42,0.117683168000001,0.39999998
71,10.7,-218.62,42,0.11036830199999947,0.39999998
72,10.7,-174.50398,42,0.11529259699999983,0.44
73,10.7,-235.848,42,0.12361610499999998,0.28
74,10.7,-231.38799,42,0.1220200149999986,0.28
75,10.7,-139.872,42,0.09318963299999972,0.35999998
76,10.7,-143.876,42,0.11131284899999905,0.48
77,10.7,-189.43599,42,0.1181014660000006,0.32
78,10.7,-218.34798,42,0.12016612500000079,0.32
79,10.7,-221.35997,42,0.09891820699999876,0.32
80,10.7,-171.87999,42,0.10951201800000021,0.44
81,10.7,-171.476,42,0.1122257280000003,0.35999998
82,10.7,-233.50798,42,0.09660250599999998,0.24
83,10.7,-216.46799,42,0.11225173499999919,0.32
84,10.7,-234.0,42,0.09405551600000095,0.32
85,10.7,-229.188,42,0.12111205100000078,0.24
86,10.7,-202.81198,42,0.11075578300000011,0.32
87,10.7,-188.904,42,0.11108862900000105,0.39999998
88,10.7,-230.56,42,0.1002895189999986,0.35999998
89,10.7,-199.76398,42,0.1116465360000003,0.35999998
90,10.7,-220.236,42,0.10770881899999907,0.28
91,10.7,-232.616,42,0.098552411,0.28
92,10.7,-230.52798,42,0.0939360150000006,0.24
93,10.7,-198.98398,42,0.11739485500000058,0.32
94,10.7,-214.31198,42,0.1310083139999989,0.28
95,10.7,-205.548,42,0.10214998600000058,0.39999998
96,10.7,-228.388,42,0.10238183799999945,0.32
97,10.7,-217.256,42,0.09685706400000171,0.28
98,10.7,-207.99199,42,0.11029475299999802,0.24
99,10.7,-141.148,42,0.11427191299999961,0.52
