generation,max_fitness,mean_fitness,max_dead_time,eval_time,percentage
0,11.0,-110.628,42,0.4810744229999999,0.59999996
1,10.4,-138.708,42,0.378681717000001,0.56
2,10.1,-124.664,42,0.40461993500000126,0.52
3,9.8,-155.22,42,0.33875649500000016,0.52
4,9.8,-112.152,42,0.38451255100000026,0.59999996
5,10.1,-95.476006,42,0.32599489899999945,0.68
6,9.8,-166.49599,42,0.412363173000001,0.52
7,11.0,-121.07199,42,0.3169608610000001,0.56
8,10.1,-126.988,42,0.32087492999999867,0.64
9,10.1,-126.792,42,0.37734587799999986,0.59999996
10,9.8,-97.496,42,0.37335443200000107,0.56
11,10.1,-122.968,42,0.36840024299999996,0.59999996
12,11.3,-97.05601,42,0.3849140269999989,0.64
13,10.4,-168.61201,42,0.3262424950000007,0.48
14,10.1,-121.38,42,0.35283331299999965,0.48
15,10.4,-78.035995,42,0.3778570479999992,0.68
16,9.5,-216.99199,42,0.36527307500000106,0.35999998
17,9.8,-144.376,42,0.38453330299999955,0.52
18,9.8,-97.815994,42,0.3848658829999998,0.52
19,10.4,-97.796,42,0.3788752019999997,0.68
20,11.3,-140.9,42,0.3551583970000003,0.59999996
21,10.1,-140.33199,42,0.3935888530000007,0.56
22,10.1,-110.6,42,0.3826392210000016,0.59999996
23,10.1,-107.08399,42,0.39510343600000297,0.64
24,10.7,-185.69199,42,0.3905144159999985,0.39999998
25,10.4,-139.372,42,0.38575449399999684,0.35999998
26,10.4,-65.868,42,0.2885260460000012,0.59999996
27,10.4,-94.70801,42,0.3828090169999996,0.68
28,10.1,-152.708,42,0.30441779199999885,0.48
29,11.0,-110.159996,42,0.29775610899999805,0.64
30,10.4,-109.57999,42,0.3817366900000003,0.59999996
31,10.1,-110.368,42,0.3024759010000011,0.59999996
32,10.1,-108.836006,42,0.36825380199999813,0.59999996
33,10.7,-65.416,42,0.3347865409999997,0.64
34,10.4,-95.472,42,0.3807166429999995,0.59999996
35,10.7,-49.007996,42,0.3622628609999978,0.71999997
36,10.1,-139.016,42,0.389002743999999,0.48
37,10.4,-110.644005,42,0.3756026679999991,0.56
38,10.1,-81.46001,42,0.3840692009999991,0.64
39,10.4,-94.287994,42,0.3951707479999982,0.71999997
40,10.7,-137.724,42,0.3772352930000018,0.59999996
41,10.1,-125.556015,42,0.3740086269999985,0.48
42,10.7,-123.61599,42,0.33849999599999947,0.64
43,11.3,-124.187996,42,0.3675807569999989,0.56
44,10.1,-125.815994,42,0.36210590399999987,0.48
45,11.0,-152.312,42,0.3733360530000027,0.52
46,10.1,-139.12,42,0.35092990100000065,0.56
47,10.4,-141.392,42,0.391174754999998,0.56
48,10.1,-168.488,42,0.3552166190000001,0.44
49,10.4,-78.424,42,0.3702724499999981,0.52
50,-332.7,-366.464,42,0.3625236469999997,0.0
51,-327.9,-354.66797,42,0.406904775000001,0.0
52,8.1,-330.45203,42,0.38125415700000076,0.04
53,8.1,-290.63998,42,0.3766568440000029,0.04
54,8.1,-291.02,42,0.31491354699999974,0.04
55,8.1,-234.008,42,0.33714721500000167,0.12
56,8.1,-259.92,42,0.3791030880000008,0.12
57,8.1,-272.296,42,0.3603632600000033,0.12
58,8.1,-255.62,42,0.36944159499999785,0.12
59,8.1,-259.676,42,0.3967024419999987,0.12
60,8.1,-230.13199,42,0.3647178619999991,0.16
61,8.1,-238.85599,42,0.379107372,0.19999999
62,8.1,-257.112,42,0.38157341899999864,0.19999999
63,8.1,-275.74,42,0.39590932000000123,0.24
64,8.1,-274.25998,42,0.3775130319999995,0.19999999
65,8.1,-274.012,42,0.3657337899999966,0.19999999
66,8.1,-260.42398,42,0.3659616070000027,0.19999999
67,8.1,-278.18,42,0.38104366099999964,0.24
68,8.1,-229.07599,42,0.3483708010000015,0.24
69,8.1,-253.224,42,0.39677035900000135,0.24
70,8.1,-289.308,42,0.3343572229999978,0.19999999
71,8.1,-263.588,42,0.37620186199999495,0.19999999
72,8.1,-279.97598,42,0.3633792079999978,0.19999999
73,8.1,-260.932,42,0.37836503900000196,0.24
74,8.1,-292.724,42,0.40021601200000134,0.19999999
75,8.1,-270.57602,42,0.3741523350000051,0.24
76,8.1,-262.112,42,0.377937959999997,0.19999999
77,8.1,-270.70798,42,0.39617962799999873,0.19999999
78,8.1,-289.18,42,0.3234901930000049,0.19999999
79,8.1,-262.85602,42,0.36738993000000164,0.19999999
80,8.1,-233.808,42,0.37360532099999944,0.32
81,8.1,-277.416,42,0.3973128069999987,0.19999999
82,8.1,-273.55197,42,0.36455177199999866,0.19999999
83,8.1,-278.664,42,0.37946501200000426,0.19999999
84,8.1,-275.452,42,0.36479712000000575,0.19999999
85,8.1,-270.36398,42,0.3178564150000014,0.19999999
86,8.1,-282.05197,42,0.3932733629999987,0.19999999
87,8.6,-259.564,42,0.38043925099999854,0.24
88,8.6,-270.316,42,0.3771287490000006,0.24
89,8.6,-287.25998,42,0.3589313869999984,0.19999999
90,8.6,-274.408,42,0.3881575770000012,0.19999999
91,8.6,-258.49197,42,0.3886837000000014,0.19999999
92,8.6,-273.34,42,0.40660137200000435,0.19999999
93,8.6,-257.936,42,0.37433957400000395,0.19999999
94,8.6,-228.09198,42,0.3682683609999984,0.24
95,8.6,-290.136,42,0.38927008599999624,0.19999999
96,8.6,-272.388,42,0.3761922999999996,0.19999999
97,8.6,-273.324,42,0.3760361850000038,0.24
98,8.6,-261.032,42,0.3737605789999989,0.19999999
99,8.6,-256.64798,42,0.4041234150000008,0.19999999
