generation,max_fitness,mean_fitness,max_dead_time,eval_time,percentage
0,1.2,-173.32745,42,0.6816195,0.0
1,10.4,-177.45491,42,0.46418452899999973,0.019607844
2,10.4,-84.811775,42,0.5446143879999994,0.019607844
3,10.4,-113.27059,42,0.4891491460000008,0.15686275
4,10.4,-106.87453,42,0.5170735300000011,0.15686275
5,10.4,-97.40196,42,0.4803401799999989,0.3137255
6,10.4,-103.21569,42,0.46928442499999967,0.21568628
7,10.4,-148.12158,42,0.5399855539999994,0.11764707
8,10.4,-88.623535,42,0.47751122400000057,0.29411766
9,10.4,-113.24706,42,0.4934453699999999,0.1764706
10,10.4,-103.82353,42,0.5429047069999999,0.1764706
11,10.4,-99.61766,42,0.5222264489999997,0.13725491
12,10.4,-84.547066,42,0.5231640089999985,0.15686275
13,10.4,-77.13138,42,0.5136089980000005,0.19607843
14,10.4,-77.32157,42,0.4624109839999999,0.13725491
15,10.4,-106.000015,42,0.5260582360000008,0.1764706
16,10.4,-77.52942,42,0.5088383390000004,0.19607843
17,10.4,-76.45686,42,0.5321139159999984,0.19607843
18,10.4,-118.93334,42,0.45476303399999907,0.25490198
19,10.4,-119.388245,42,0.5005399429999997,0.1764706
20,0.9,-27.880396,42,0.5238245849999998,0.0
21,0.9,-43.23726,42,0.5746259980000019,0.0
22,1.5,-28.639215,42,0.5466708999999987,0.0
23,1.5,-35.521572,42,0.557979607,0.0
24,1.5,-49.109806,42,0.5355628640000027,0.0
25,1.5,-62.994125,42,0.5341577480000019,0.0
26,1.5,-87.315704,42,0.5458869990000004,0.0
27,1.5,-13.268629,42,0.5377756349999991,0.0
28,1.5,-33.50196,42,0.5105087020000028,0.0
29,1.7,-34.233334,42,0.5427087210000003,0.0
30,1.7,-42.89412,42,0.5550656320000016,0.0
31,3.9,-56.729416,42,0.5390755600000006,0.0
32,3.9,-62.89216,42,0.5469526809999969,0.0
33,3.9,-88.89805,42,0.5446266040000012,0.0
34,3.9,-91.992165,42,0.5589578820000014,0.0
35,3.9,-91.288246,42,0.5659078450000017,0.0
36,3.9,-81.66667,42,0.5332750520000005,0.0
37,3.9,-46.662746,42,0.5027276269999987,0.0
38,3.9,-136.64119,42,0.5440392440000004,0.0
39,3.9,-77.72353,42,0.5359912120000025,0.0
40,3.9,-95.13138,42,0.5601913020000033,0.0
41,3.9,-91.725494,42,0.5184038349999973,0.0
42,3.9,-147.4804,42,0.5060988109999975,0.0
43,3.9,-148.52354,42,0.5136526530000012,0.0
44,3.9,-81.933334,42,0.4582092340000017,0.0
45,3.9,-84.81568,42,0.537806032999999,0.0
46,3.9,-85.06275,42,0.5409822730000009,0.0
47,3.9,-84.466675,42,0.5467151140000013,0.0
48,3.9,-64.5353,42,0.5543951849999971,0.0
49,3.9,-68.62942,42,0.5410776450000014,0.0
50,3.9,-88.303925,42,0.566129771,0.0
51,3.9,-106.05295,42,0.5442899200000042,0.0
52,3.9,-77.072556,42,0.5009269509999967,0.0
53,3.9,-93.07844,42,0.5309841710000001,0.0
54,3.9,-63.280396,42,0.5431083550000011,0.0
55,3.9,-89.90196,42,0.5522921459999992,0.0
56,3.9,-108.33922,42,0.5314104549999996,0.0
57,3.9,-104.70785,42,0.5267502470000025,0.0
58,3.9,-77.15491,42,0.523906304999997,0.0
59,3.9,-86.154915,42,0.5086818489999985,0.0
60,3.9,-104.133354,42,0.5333535699999956,0.0
61,3.9,-96.63922,42,0.5357186029999994,0.0
62,3.9,-60.276474,42,0.5121441950000047,0.0
63,3.9,-104.01569,42,0.5137576910000021,0.0
64,3.9,-68.64118,42,0.5329605279999967,0.0
65,3.9,-118.24314,42,0.5321313950000004,0.0
66,3.9,-96.605896,42,0.5529648690000002,0.0
67,3.9,-77.252945,42,0.5219288199999994,0.0
68,3.9,-54.37255,42,0.5561058170000024,0.0
69,3.9,-78.97844,42,0.4836153010000004,0.0
70,3.9,-70.254906,42,0.5202005339999971,0.0
71,3.9,-82.58432,42,0.4404715540000055,0.0
72,3.9,-109.69608,42,0.5303272199999967,0.0
73,3.9,-90.303925,42,0.5562332820000009,0.0
74,3.9,-69.83725,42,0.5472671240000011,0.0
75,3.9,-74.537254,42,0.5356495219999999,0.0
76,3.9,-89.38824,42,0.500407574999997,0.0
77,3.9,-94.417656,42,0.5461933969999961,0.0
78,3.9,-56.803925,42,0.5966107030000032,0.0
79,3.9,-61.825493,42,0.551126177999997,0.0
80,3.9,-104.92157,42,0.5307494229999961,0.0
81,3.9,-102.0,42,0.5585662650000032,0.0
82,3.9,-83.39216,42,0.5472776089999982,0.0
83,3.9,-70.51177,42,0.5514129519999997,0.0
84,3.9,-83.59609,42,0.5688790250000011,0.0
85,3.9,-75.7647,42,0.539572426999996,0.0
86,3.9,-95.01961,42,0.5504804010000015,0.0
87,3.9,-62.20981,42,0.5428949949999975,0.0
88,3.9,-39.390198,42,0.5583293369999964,0.0
89,3.9,-69.231384,42,0.5074757100000014,0.0
90,3.9,-76.150986,42,0.5259177339999965,0.0
91,3.9,-73.87256,42,0.5181397759999982,0.0
92,3.9,-63.08628,42,0.557621785000002,0.0
93,3.9,-98.327446,42,0.5652474059999975,0.0
94,3.9,-104.37059,42,0.5451290160000042,0.0
95,3.9,-99.39216,42,0.5153707249999968,0.0
96,3.9,-91.10785,42,0.5585896320000003,0.0
97,3.9,-69.40589,42,0.5161802490000014,0.0
98,3.9,-60.88628,42,0.5374348940000004,0.0
99,3.9,-75.34314,42,0.5562917629999973,0.0
