generation,max_fitness,mean_fitness,max_dead_time,eval_time,percentage
0,10.4,-113.374,42,0.577204279,0.64
1,10.1,-97.452,42,0.5138364629999987,0.65999997
2,10.1,-83.40599,42,0.5094002250000003,0.64
3,9.8,-60.001995,42,0.40762826200000113,0.74
4,10.1,-97.172,42,0.442472179000001,0.68
5,10.4,-80.39,42,0.5039925400000005,0.7
6,10.1,-57.289997,42,0.4950058100000003,0.78
7,9.8,-118.21999,42,0.5077569149999999,0.64
8,10.4,-116.79599,42,0.46716976999999993,0.58
9,10.4,-96.509995,42,0.4690717289999995,0.71999997
10,10.7,-67.425995,42,0.45226730599999954,0.76
11,10.1,-135.63599,42,0.4023771940000014,0.52
12,10.7,-104.188,42,0.40572947400000103,0.65999997
13,10.1,-74.934,42,0.38876826299999934,0.7
14,10.7,-128.222,42,0.49048038599999977,0.53999996
15,10.1,-88.614,42,0.4554321359999989,0.71999997
16,10.1,-49.904003,42,0.47019729800000043,0.79999995
17,11.0,-97.798,42,0.4788193760000006,0.64
18,10.7,-133.074,42,0.47390470600000256,0.58
19,9.8,-119.574,42,0.4196212639999999,0.62
20,10.1,-128.79599,42,0.41852343200000064,0.59999996
21,10.1,-82.088005,42,0.5056113350000011,0.76
22,10.4,-131.824,42,0.43862606499999757,0.58
23,10.1,-104.374,42,0.4345295940000007,0.68
24,10.4,-112.084,42,0.45530045199999947,0.68
25,10.1,-110.27199,42,0.4635090439999985,0.68
26,10.4,-95.2,42,0.38113714600000037,0.7
27,10.1,-110.924,42,0.45234407199999893,0.64
28,10.4,-89.08399,42,0.48605248399999823,0.7
29,10.1,-118.40199,42,0.4670739620000006,0.62
30,10.4,-155.592,42,0.5168674499999995,0.53999996
31,11.0,-141.73799,42,0.43291111499999957,0.58
32,10.4,-120.38801,42,0.5172968170000019,0.59999996
33,10.1,-75.54,42,0.50915672,0.74
34,10.7,-97.544,42,0.39392189799999855,0.65999997
35,10.1,-141.94,42,0.3753483630000005,0.53999996
36,10.1,-163.784,42,0.48906906799999916,0.44
37,11.3,-199.478,42,0.498066908000002,0.42
38,10.4,-108.48599,42,0.49557657600000127,0.65999997
39,10.4,-90.604004,42,0.46907021900000245,0.58
40,10.1,-141.896,42,0.4599764610000001,0.48
41,10.1,-126.24801,42,0.466072939,0.56
42,10.4,-90.45799,42,0.4949181689999982,0.64
43,10.1,-133.28001,42,0.436075203999998,0.53999996
44,10.4,-102.462,42,0.4580120239999985,0.64
45,10.4,-103.11001,42,0.3907222620000006,0.65999997
46,10.4,-103.035995,42,0.37849291899999926,0.64
47,11.0,-125.74801,42,0.37914531000000196,0.59999996
48,11.0,-73.59,42,0.4678704670000009,0.7
49,10.4,-80.712,42,0.4802913239999995,0.7
50,10.7,-137.06,42,0.46248660100000194,0.56
51,9.8,-113.215996,42,0.4117150159999987,0.53999996
52,11.0,-109.22599,42,0.38152790300000206,0.64
53,10.7,-73.142,42,0.5053779750000018,0.74
54,10.7,-73.246,42,0.5118817979999974,0.71999997
55,10.4,-124.78,42,0.508116440000002,0.53999996
56,11.0,-66.072,42,0.45944513199999903,0.71999997
57,11.0,-73.133995,42,0.460895960000002,0.7
58,11.9,-94.507996,42,0.4506858989999998,0.68
59,10.4,-72.952,42,0.40088164800000214,0.68
60,10.4,-78.592,42,0.40499782199999856,0.71999997
61,11.9,-96.574005,42,0.5101691610000003,0.58
62,11.0,-103.925995,42,0.3852597400000022,0.65999997
63,10.7,-74.481995,42,0.512535021000005,0.71999997
64,10.7,-87.59599,42,0.4995585550000001,0.64
65,10.4,-105.874,42,0.4450589919999999,0.5
66,11.0,-122.88799,42,0.3875641590000001,0.58
67,10.4,-58.686,42,0.48347698599999944,0.68
68,10.4,-100.954,42,0.42416086600000114,0.62
69,10.1,-67.296,42,0.4623899569999992,0.74
70,10.1,-116.85399,42,0.4558701480000025,0.59999996
71,10.1,-109.298004,42,0.4971696349999988,0.59999996
72,10.1,-51.457996,42,0.537288272000005,0.82
73,10.1,-119.504,42,0.48693417399999817,0.65999997
74,10.1,-95.57,42,0.43691164000000526,0.7
75,10.7,-164.69199,42,0.38896646999999973,0.5
76,10.1,-140.616,42,0.4447242490000036,0.58
77,10.4,-89.244,42,0.4703566239999972,0.65999997
78,10.4,-111.535995,42,0.3865268209999968,0.65999997
79,10.4,-97.37601,42,0.4123633840000025,0.65999997
80,10.4,-119.149994,42,0.5273586269999981,0.58
81,10.4,-111.259995,42,0.43365555900000174,0.68
82,10.1,-112.974,42,0.3801986359999958,0.65999997
83,10.1,-134.558,42,0.3490099569999998,0.58
84,10.1,-112.451996,42,0.5020165249999948,0.58
85,10.4,-105.112,42,0.5065305289999955,0.7
86,10.1,-73.852005,42,0.438411648000006,0.76
87,10.4,-124.02599,42,0.4391729409999954,0.62
88,10.4,-106.218,42,0.3946013939999986,0.68
89,10.4,-113.862,42,0.3861006850000024,0.58
90,10.1,-123.65599,42,0.480628258000003,0.53999996
91,11.0,-86.344,42,0.47167340699999727,0.71999997
92,10.4,-81.576,42,0.4518338749999984,0.65999997
93,10.1,-94.244,42,0.4439016099999975,0.68
94,10.4,-89.20801,42,0.47130740499999746,0.62
95,10.1,-102.90399,42,0.4688642089999959,0.62
96,10.1,-105.814,42,0.4598877399999992,0.53999996
97,10.4,-137.908,42,0.443140077999999,0.56
98,10.4,-140.134,42,0.4346895510000053,0.53999996
99,10.7,-117.256,42,0.46090209700000173,0.59999996
