generation,max_fitness,mean_fitness,max_dead_time,eval_time,percentage
0,9.8,-157.81999,42,0.4628594599999998,0.56
1,10.4,-67.72,42,0.332449714,0.76
2,10.1,-111.24801,42,0.33976877600000055,0.64
3,10.4,-52.132,42,0.381550669000001,0.79999995
4,10.4,-124.928,42,0.3632577010000002,0.64
5,10.4,-51.155994,42,0.36274372399999955,0.76
6,10.1,-113.399994,42,0.3602414429999996,0.52
7,9.8,-141.972,42,0.37744344400000074,0.59999996
8,10.4,-66.776,42,0.3883730770000007,0.79999995
9,10.4,-112.895996,42,0.3718632839999998,0.64
10,9.8,-96.32,42,0.3542580389999994,0.71999997
11,9.8,-50.116,42,0.3814898420000006,0.71999997
12,10.1,-126.332,42,0.3762445870000004,0.64
13,9.8,-97.88,42,0.32726882100000054,0.68
14,10.1,-95.815994,42,0.3735934109999999,0.68
15,10.7,-64.535995,42,0.30962493400000035,0.79999995
16,10.1,-142.64,42,0.32213841899999984,0.56
17,10.7,-93.904,42,0.2789567989999995,0.68
18,9.8,-126.344,42,0.32986688600000136,0.56
19,11.0,-125.18,42,0.3440765070000005,0.59999996
20,10.4,-67.712,42,0.37340813399999995,0.71999997
21,10.4,-82.31199,42,0.38816076200000005,0.68
22,10.1,-95.19599,42,0.38570696199999865,0.71999997
23,9.8,-136.56801,42,0.34080466600000037,0.59999996
24,10.1,-127.652,42,0.38493667899999906,0.59999996
25,10.4,-68.192,42,0.36005030199999766,0.68
26,10.4,-51.5,42,0.37127462699999825,0.76
27,10.4,-51.907997,42,0.40177488900000213,0.84
28,10.4,-109.744,42,0.3674899819999986,0.59999996
29,10.4,-78.952,42,0.2837706719999993,0.71999997
30,11.6,-93.728,42,0.35589500800000096,0.68
31,10.1,-81.716,42,0.35800719099999867,0.64
32,10.1,-96.256004,42,0.3378950689999982,0.68
33,10.7,-77.856,42,0.3711162829999992,0.71999997
34,10.1,-78.288,42,0.3594528610000012,0.76
35,10.1,-154.472,42,0.3824281030000023,0.56
36,10.4,-110.635994,42,0.3401155729999985,0.64
37,10.4,-140.9,42,0.40150026999999966,0.59999996
38,10.7,-110.65599,42,0.3478402679999988,0.64
39,10.1,-111.576004,42,0.3899560469999983,0.68
40,10.1,-49.956,42,0.30274125099999694,0.84
41,10.4,-125.544,42,0.31197928799999985,0.64
42,10.4,-80.044,42,0.3121519719999988,0.71999997
43,10.4,-154.62,42,0.28912099300000094,0.52
44,10.4,-111.563995,42,0.3494443029999985,0.64
45,10.1,-142.384,42,0.32119836700000093,0.56
46,10.1,-111.396,42,0.379607644,0.56
47,10.4,-79.82,42,0.3605033189999993,0.71999997
48,10.1,-110.78799,42,0.37271543299999976,0.59999996
49,10.1,-96.432,42,0.3639092529999992,0.68
50,10.1,-94.619995,42,0.3174787669999972,0.68
51,10.1,-126.724,42,0.3648129969999978,0.59999996
52,10.4,-80.192,42,0.36127968299999935,0.71999997
53,10.4,-158.05998,42,0.3881520589999994,0.48
54,10.1,-98.631996,42,0.37665011900000067,0.68
55,10.7,-79.42799,42,0.3546124629999987,0.76
56,10.4,-112.50399,42,0.358144437,0.64
57,10.1,-170.37999,42,0.3653603160000003,0.52
58,10.1,-53.672,42,0.38972785800000054,0.79999995
59,11.6,-94.368,42,0.39072262499999866,0.71999997
60,10.4,-95.92799,42,0.37084279900000183,0.68
61,10.4,-49.971996,42,0.3770984310000003,0.68
62,10.4,-66.52,42,0.40763174699999993,0.71999997
63,10.4,-36.7,42,0.37569975899999974,0.84
64,10.4,-68.06,42,0.3383649179999999,0.71999997
65,10.1,-106.532,42,0.32702478599999907,0.68
66,11.6,-140.776,42,0.33805644499999943,0.48
67,10.1,-152.64,42,0.3745146049999981,0.56
68,10.4,-81.124,42,0.34616879599999706,0.76
69,10.4,-81.092,42,0.36331543599999705,0.71999997
70,11.0,-154.84799,42,0.35827369100000084,0.56
71,10.7,-79.828,42,0.3663274039999962,0.76
72,10.4,-170.48,42,0.38461075400000055,0.52
73,9.8,-109.787994,42,0.3601799599999964,0.68
74,10.4,-94.243996,42,0.3795429270000028,0.71999997
75,10.7,-65.4,42,0.39535994900000304,0.68
76,10.4,-109.51201,42,0.3982268980000043,0.52
77,11.0,-126.872,42,0.38335794700000037,0.64
78,10.7,-137.704,42,0.3816307049999992,0.52
79,10.1,-97.215996,42,0.3856832810000057,0.64
80,10.4,-155.732,42,0.38656679199999644,0.48
81,9.8,-109.479996,42,0.37936567899999574,0.68
82,10.4,-125.236,42,0.3608700589999998,0.59999996
83,10.4,-139.032,42,0.36471139399999686,0.59999996
84,10.1,-80.308,42,0.3755019770000061,0.71999997
85,10.1,-111.592,42,0.3859483499999996,0.68
86,10.1,-158.01999,42,0.3428958629999954,0.56
87,10.1,-50.992,42,0.38917153499999557,0.76
88,10.4,-82.636,42,0.3604022700000016,0.71999997
89,9.8,-81.147995,42,0.3811864329999963,0.71999997
90,10.7,-126.83201,42,0.36910220200000055,0.59999996
91,10.1,-128.872,42,0.37094677199999637,0.59999996
92,10.4,-139.888,42,0.38339355800000163,0.59999996
93,10.4,-82.147995,42,0.38997976499999965,0.71999997
94,10.4,-80.299995,42,0.3763270449999965,0.68
95,10.4,-67.156006,42,0.35998292400000054,0.68
96,11.6,-81.92,42,0.3899219620000025,0.64
97,10.4,-97.11999,42,0.3212289510000019,0.68
98,10.4,-49.584,42,0.30809233100000455,0.79999995
99,10.4,-113.59599,42,0.35886754699999557,0.59999996
