generation,max_fitness,mean_fitness,max_dead_time,eval_time,percentage
0,9.8,-128.476,42,0.44220197100000025,0.64
1,10.4,-141.11998,42,0.37438508800000037,0.52
2,10.1,-95.01599,42,0.34130072099999964,0.71999997
3,9.8,-95.05601,42,0.3440586640000003,0.68
4,9.8,-173.592,42,0.35119358699999914,0.44
5,9.8,-152.01999,42,0.3640977980000013,0.48
6,10.1,-185.848,42,0.3251113669999999,0.48
7,9.8,-81.72,42,0.38450430099999977,0.71999997
8,9.8,-129.396,42,0.368684751,0.59999996
9,10.1,-137.336,42,0.3448144020000008,0.59999996
10,-343.0,-368.768,42,0.36979405400000154,0.0
11,-0.9,-350.80402,42,0.2915960749999993,0.0
12,-0.9,-335.676,42,0.30640172400000054,0.0
13,-0.9,-275.012,42,0.37668850999999925,0.0
14,-0.9,-233.16399,42,0.3825197039999999,0.0
15,-0.9,-231.79199,42,0.36712302100000116,0.0
16,-0.6,-233.448,42,0.3585320360000015,0.0
17,-0.6,-248.04,42,0.3299030210000016,0.0
18,-0.6,-147.584,42,0.3684199750000001,0.0
19,-0.6,-233.65999,42,0.3176725270000009,0.0
20,-0.6,-249.17201,42,0.398163138000001,0.0
21,-0.6,-205.40398,42,0.3239452180000004,0.0
22,-0.6,-276.896,42,0.3539531589999996,0.0
23,-0.6,-160.592,42,0.3589270229999997,0.0
24,-0.6,-186.944,42,0.37831706600000103,0.0
25,-0.6,-233.988,42,0.3683432979999992,0.0
26,-0.6,-200.204,42,0.36418072099999677,0.0
27,-0.6,-219.844,42,0.3861439319999995,0.0
28,-0.6,-233.41602,42,0.36186868800000127,0.0
29,-0.6,-221.25998,42,0.3407924059999985,0.0
30,-0.3,-243.684,42,0.3395534470000001,0.0
31,-0.3,-186.93199,42,0.3781750429999988,0.0
32,-0.3,-252.33998,42,0.41278882900000013,0.0
33,-0.3,-262.08398,42,0.3176203760000007,0.0
34,-0.3,-261.91998,42,0.2948413899999984,0.0
35,-0.3,-222.468,42,0.34836080300000205,0.0
36,-0.3,-252.07199,42,0.4029237160000001,0.0
37,-0.3,-262.87198,42,0.3786029830000004,0.0
38,-0.3,-233.55602,42,0.39727858799999893,0.0
39,-0.3,-260.412,42,0.35904298399999846,0.0
40,-0.3,-189.88799,42,0.3895553949999986,0.0
41,-0.3,-249.86398,42,0.3737302609999986,0.0
42,-0.3,-251.33199,42,0.3839336210000006,0.0
43,-0.3,-204.28798,42,0.3915963619999978,0.0
44,-0.3,-221.22398,42,0.3837295340000004,0.0
45,-0.3,-219.09998,42,0.2862684599999987,0.0
46,-0.3,-223.12,42,0.3288527669999972,0.0
47,-0.3,-237.476,42,0.3710857950000026,0.0
48,-0.3,-279.15598,42,0.36935042999999723,0.0
49,-0.3,-264.32397,42,0.3437856539999977,0.0
50,-0.3,-219.476,42,0.39348030599999717,0.0
51,-0.3,-259.48398,42,0.3832159290000021,0.0
52,-0.3,-203.38799,42,0.3904913850000007,0.0
53,-0.3,-237.20801,42,0.3899115739999992,0.0
54,-0.3,-234.328,42,0.3676079150000007,0.0
55,-0.3,-209.724,42,0.36381416199999705,0.0
56,-0.3,-263.928,42,0.36118052199999795,0.0
57,-0.3,-221.88799,42,0.3882526879999979,0.0
58,-0.3,-234.81999,42,0.38454644600000165,0.0
59,-0.3,-203.2,42,0.3668647810000003,0.0
60,-0.3,-178.46397,42,0.396571754,0.0
61,-0.3,-250.95999,42,0.3469542969999999,0.0
62,-0.3,-247.096,42,0.3874737719999999,0.0
63,-0.3,-233.23201,42,0.37292244999999724,0.0
64,-0.3,-229.44,42,0.38366419600000157,0.0
65,-0.3,-236.71599,42,0.3870240860000038,0.0
66,-0.3,-222.19199,42,0.3903572680000025,0.0
67,-0.3,-260.74802,42,0.31671800699999864,0.0
68,-0.3,-276.672,42,0.30571961599999753,0.0
69,-0.3,-247.27199,42,0.3782674620000037,0.0
70,-0.3,-249.56798,42,0.42993043599999936,0.0
71,-0.3,-263.59198,42,0.3776941409999992,0.0
72,-0.3,-273.94,42,0.3791416349999963,0.0
73,-0.3,-258.36398,42,0.35420307300000076,0.0
74,-0.3,-249.62,42,0.35037094500000165,0.0
75,-0.3,-203.49199,42,0.3757708469999983,0.0
76,-0.3,-234.68799,42,0.41967158299999596,0.0
77,-0.3,-251.508,42,0.3728309409999966,0.0
78,-0.3,-253.108,42,0.39584640199999654,0.0
79,-0.3,-297.66,42,0.3825273069999966,0.0
80,-0.3,-278.576,42,0.3423448229999977,0.0
81,-0.3,-237.868,42,0.36749028100000203,0.0
82,-0.3,-229.828,42,0.3477642860000003,0.0
83,-0.3,-260.84396,42,0.3917626659999982,0.0
84,-0.3,-230.35199,42,0.3956558670000021,0.0
85,-0.3,-279.524,42,0.4039547180000014,0.0
86,-0.3,-235.40799,42,0.4051121689999988,0.0
87,-0.3,-261.66797,42,0.3995523970000008,0.0
88,-0.3,-246.42798,42,0.38276525100000214,0.0
89,-0.3,-190.664,42,0.37682784999999797,0.0
90,-0.3,-279.916,42,0.3870063720000019,0.0
91,-0.3,-205.51997,42,0.3954243390000016,0.0
92,-0.3,-258.892,42,0.3734428389999991,0.0
93,-0.3,-246.92798,42,0.3672181000000023,0.0
94,-0.3,-250.34,42,0.3129103300000011,0.0
95,-0.3,-263.972,42,0.32415001199999693,0.0
96,-0.3,-275.13602,42,0.28552713700000254,0.0
97,-0.3,-267.028,42,0.2624428000000023,0.0
98,-0.3,-264.512,42,0.28573957899999414,0.0
99,-0.3,-249.91199,42,0.3281171070000042,0.0
