generation,max_fitness,mean_fitness,max_dead_time,eval_time,percentage
0,0.9,-77.374,42,0.5434323939999999,0.0
1,0.9,-23.14,42,0.2667100299999996,0.0
2,8.3,-8.033999,42,0.36405275499999945,0.02
3,0.9,-29.803999,42,0.3907387980000001,0.0
4,9.4,-148.398,42,0.255657703999999,0.04
5,8.0,-13.799999,42,0.31578722300000095,0.02
6,1.8,-167.14,42,0.343422082,0.0
7,0.9,-126.774,42,0.4022968250000005,0.0
8,1.6,-142.24199,42,0.3052587090000003,0.0
9,1.2,-53.455994,42,0.35555440599999955,0.0
10,7.5,-103.965996,42,0.36930391900000004,0.02
11,0.9,-138.972,42,0.407220817999999,0.0
12,0.9,-143.53001,42,0.34337490300000084,0.0
13,0.9,-31.407999,42,0.33332369899999925,0.0
14,0.9,-15.504,42,0.2148413619999996,0.0
15,0.9,-45.552002,42,0.35194258400000145,0.0
16,0.9,-15.840001,42,0.40272177900000017,0.0
17,0.9,-31.46,42,0.38989401899999976,0.0
18,0.9,-14.934,42,0.25771964599999997,0.0
19,0.9,-22.321999,42,0.30808261900000034,0.0
20,1.2,-65.364006,42,0.3738411460000002,0.0
21,1.5,-80.432,42,0.3802562320000007,0.0
22,1.5,-50.244003,42,0.3673689670000009,0.0
23,3.3,-69.506,42,0.1774249250000004,0.0
24,3.4,-65.242,42,0.1650331309999995,0.0
25,3.4,-112.84799,42,0.1582243219999988,0.0
26,3.4,-120.68601,42,0.16189608400000033,0.0
27,3.4,-199.69,42,0.35526089100000036,0.0
28,4.6,-145.866,42,0.1572405640000003,0.0
29,4.6,-103.01599,42,0.1514187499999995,0.0
30,4.6,-134.87999,42,0.15293741500000024,0.0
31,4.6,-128.26,42,0.1755222879999998,0.0
32,4.6,-146.194,42,0.360868288999999,0.0
33,4.6,-156.84999,42,0.39385210000000015,0.0
34,4.6,-99.494,42,0.41215248299999985,0.0
35,4.6,-112.59201,42,0.3255232289999981,0.0
36,4.6,-129.132,42,0.2700649840000011,0.0
37,4.6,-119.271996,42,0.32637109999999936,0.0
38,4.6,-143.748,42,0.33625085799999965,0.0
39,4.6,-136.262,42,0.3808550960000012,0.0
40,4.6,-127.64,42,0.28096210999999727,0.0
41,4.6,-96.75,42,0.321329403,0.0
42,4.6,-119.31801,42,0.42134145300000014,0.0
43,4.6,-123.444,42,0.3643979970000011,0.0
44,4.6,-123.844,42,0.38950087899999986,0.0
45,4.6,-100.229996,42,0.32951987899999935,0.0
46,4.6,-168.634,42,0.28124989700000214,0.0
47,4.6,-114.306,42,0.3596199439999985,0.0
48,4.6,-126.201996,42,0.3642630279999999,0.0
49,4.6,-155.414,42,0.394257777,0.0
50,4.6,-151.386,42,0.36855151899999683,0.0
51,4.6,-84.107994,42,0.3664138670000021,0.0
52,4.6,-82.816,42,0.26835313299999797,0.0
53,4.6,-132.264,42,0.37060221899999846,0.0
54,4.6,-97.90599,42,0.3712911560000016,0.0
55,4.6,-82.308,42,0.3710263019999971,0.0
56,4.6,-114.30801,42,0.3871650819999992,0.0
57,4.6,-127.228004,42,0.36985842800000057,0.0
58,4.6,-95.544,42,0.30404820099999696,0.0
59,4.6,-122.658005,42,0.33237993200000204,0.0
60,4.6,-118.154,42,0.3548500770000018,0.0
61,4.6,-135.61198,42,0.369108096999998,0.0
62,4.6,-114.292,42,0.34339009099999984,0.0
63,4.6,-128.65,42,0.34877546700000295,0.0
64,4.6,-134.674,42,0.2814342750000023,0.0
65,4.6,-125.904,42,0.30414796000000166,0.0
66,4.6,-77.514,42,0.3916601809999989,0.0
67,4.6,-127.70801,42,0.34930612100000147,0.0
68,4.6,-135.158,42,0.371670782999999,0.0
69,4.6,-143.87599,42,0.34891808800000135,0.0
70,4.6,-134.948,42,0.3018710669999969,0.0
71,4.6,-110.438,42,0.26835025699999804,0.0
72,4.6,-128.488,42,0.38519478199999924,0.0
73,4.6,-119.994,42,0.3621446559999981,0.0
74,4.6,-132.58,42,0.3695150110000007,0.0
75,4.6,-160.7,42,0.372379083000002,0.0
76,4.6,-90.38201,42,0.30380292099999906,0.0
77,4.6,-128.01,42,0.2975498440000024,0.0
78,4.6,-139.808,42,0.33764393699999573,0.0
79,4.6,-60.44,42,0.38183327099999786,0.0
80,4.6,-115.61,42,0.3816812490000032,0.0
81,4.6,-133.97,42,0.3490769750000027,0.0
82,4.6,-175.388,42,0.3672286850000006,0.0
83,4.6,-120.66,42,0.3178066400000006,0.0
84,4.6,-129.20999,42,0.30816882500000276,0.0
85,10.6,-137.48999,42,0.3665942510000022,0.02
86,10.6,-106.66801,42,0.4031499979999964,0.02
87,10.9,-159.124,42,0.3699779319999976,0.08
88,11.1,-131.872,42,0.3803141019999998,0.16
89,11.6,-75.784004,42,0.35529909100000623,0.17999999
90,11.6,-98.04,42,0.3957821230000036,0.12
91,11.6,-112.45801,42,0.35305218600000643,0.24
92,11.6,-136.468,42,0.3599632150000005,0.16
93,11.6,-128.826,42,0.40172331899999847,0.16
94,12.2,-92.810005,42,0.40662749499999506,0.17999999
95,12.2,-77.588,42,0.26954014800000436,0.24
96,12.8,-128.82599,42,0.38110451400000045,0.17999999
97,12.8,-99.78,42,0.41094080900000307,0.17999999
98,12.8,-143.47,42,0.4069061739999995,0.16
99,12.8,-122.704,42,0.3409675340000007,0.14
