generation,max_fitness,mean_fitness,max_dead_time,eval_time,percentage
0,9.5,-188.388,42,0.4340305190000002,0.48
1,10.1,-81.54001,42,0.3593078380000012,0.76
2,9.8,-113.244,42,0.34942992200000056,0.56
3,10.1,-127.16799,42,0.3985427389999998,0.59999996
4,10.1,-138.672,42,0.3512932210000006,0.52
5,10.4,-124.86001,42,0.37239791300000036,0.56
6,10.7,-154.47601,42,0.3821604340000011,0.48
7,10.1,-51.26,42,0.37357151600000016,0.76
8,9.8,-35.128002,42,0.3733165669999998,0.76
9,10.1,-138.764,42,0.3725221669999996,0.52
10,10.1,-122.0,42,0.36801910299999996,0.59999996
11,10.1,-50.843998,42,0.3805298799999992,0.79999995
12,10.4,-124.088005,42,0.37178483099999937,0.64
13,10.4,-80.868,42,0.3811526090000008,0.71999997
14,10.1,-156.252,42,0.3856098330000002,0.56
15,10.1,-137.444,42,0.3942720580000003,0.59999996
16,10.4,-95.224,42,0.38990786899999996,0.64
17,10.1,-97.204,42,0.38997602599999937,0.71999997
18,10.7,-82.175995,42,0.3803679389999992,0.64
19,10.7,-156.00801,42,0.4182305260000003,0.52
20,10.4,-68.771996,42,0.3915762559999987,0.71999997
21,10.4,-65.439995,42,0.37907157999999797,0.76
22,10.1,-67.02801,42,0.3870720739999989,0.76
23,10.1,-36.028,42,0.39768164799999894,0.64
24,10.7,-50.911995,42,0.37593908800000264,0.79999995
25,9.8,-125.619995,42,0.40817682799999844,0.52
26,10.1,-78.088,42,0.3682717639999993,0.64
27,9.8,-127.36,42,0.373711789999998,0.64
28,10.4,-99.66801,42,0.37573906900000154,0.56
29,9.8,-94.51599,42,0.3673672890000006,0.64
30,10.1,-94.635994,42,0.3441053150000002,0.68
31,10.1,-126.88801,42,0.33737443100000064,0.56
32,10.4,-52.471996,42,0.3656994020000006,0.68
33,10.1,-111.20801,42,0.36828869800000064,0.64
34,10.1,-66.864,42,0.3770564400000005,0.79999995
35,9.8,-96.787994,42,0.34600684000000115,0.59999996
36,9.8,-82.299995,42,0.308603331999997,0.71999997
37,10.1,-155.72,42,0.3797944479999984,0.52
38,10.1,-79.54,42,0.37842020100000084,0.71999997
39,10.4,-95.652,42,0.3944888939999984,0.64
40,9.8,-136.744,42,0.38767292,0.48
41,10.1,-123.54399,42,0.38612140300000064,0.59999996
42,10.4,-126.664,42,0.4236723429999998,0.56
43,10.4,-93.864,42,0.39723552999999967,0.68
44,10.7,-64.883995,42,0.37140221299999965,0.68
45,10.1,-153.40799,42,0.40112792400000075,0.48
46,10.4,-64.928,42,0.3651655909999967,0.71999997
47,10.4,-94.299995,42,0.35406740300000195,0.64
48,10.4,-171.15201,42,0.3884503929999994,0.44
49,10.1,-123.42799,42,0.354966662999999,0.59999996
50,10.1,-50.552002,42,0.36042235400000067,0.84
51,11.0,-94.40399,42,0.3124154869999991,0.68
52,10.1,-110.37199,42,0.35425345199999825,0.59999996
53,10.4,-109.672,42,0.37172412099999974,0.64
54,10.1,-50.904,42,0.39672374599999927,0.79999995
55,10.1,-77.796,42,0.38987695799999855,0.76
56,10.1,-97.292,42,0.3783178430000014,0.68
57,10.1,-154.56801,42,0.3810304309999992,0.52
58,10.4,-66.992,42,0.4062535419999982,0.71999997
59,10.4,-96.788,42,0.33514034899999956,0.71999997
60,10.4,-109.08001,42,0.3073358820000003,0.64
61,10.1,-110.268,42,0.3637805260000029,0.68
62,10.4,-34.224,42,0.34793569900000065,0.79999995
63,10.1,-98.368004,42,0.35939141699999766,0.64
64,10.4,-51.512,42,0.35610793800000096,0.79999995
65,10.4,-154.99599,42,0.3803490929999995,0.52
66,10.4,-93.052,42,0.40506489599999895,0.71999997
67,10.7,-67.84,42,0.38533414600000526,0.71999997
68,10.4,-126.827995,42,0.38862895700000166,0.56
69,10.7,-111.544,42,0.3778787840000035,0.56
70,10.7,-121.47599,42,0.3734634630000002,0.56
71,10.7,-50.652,42,0.37735261000000264,0.76
72,10.4,-94.964005,42,0.3932254490000062,0.64
73,10.7,-98.33999,42,0.3619057659999996,0.64
74,10.4,-107.728004,42,0.38330440200000027,0.59999996
75,11.0,-152.01599,42,0.3953098890000035,0.52
76,10.7,-81.43199,42,0.3713708609999955,0.59999996
77,10.1,-81.631996,42,0.328442668000001,0.64
78,10.7,-51.132,42,0.37425463699999995,0.68
79,11.3,-212.608,42,0.37618758600000035,0.39999998
80,10.7,-51.879997,42,0.346230214000002,0.79999995
81,10.1,-113.60399,42,0.3133062360000025,0.64
82,10.1,-139.012,42,0.3601994539999964,0.52
83,11.0,-78.152,42,0.3685883010000026,0.71999997
84,10.1,-200.31201,42,0.34616115600000086,0.39999998
85,11.3,-91.38799,42,0.40295873999999543,0.64
86,11.6,-95.9,42,0.3380983810000018,0.64
87,11.3,-108.675995,42,0.28838701100000463,0.48
88,10.4,-149.36,42,0.3267087460000013,0.56
89,11.0,-138.38,42,0.3782733530000044,0.59999996
90,11.3,-67.548,42,0.3666449440000008,0.68
91,10.4,-128.27599,42,0.38545844999999446,0.52
92,10.1,-94.984,42,0.3710401040000022,0.59999996
93,10.4,-154.584,42,0.32590353899999513,0.48
94,10.4,-81.596,42,0.3423791840000021,0.64
95,10.1,-96.27599,42,0.3262584889999971,0.64
96,10.7,-111.256,42,0.359737097,0.68
97,10.4,-95.192,42,0.37078989999999834,0.71999997
98,11.3,-78.86,42,0.36079035000000204,0.76
99,10.1,-125.592,42,0.3912786339999954,0.64
