generation,max_fitness,mean_fitness,max_dead_time,eval_time,percentage
0,9.8,-111.72199,42,1.1473819049999996,0.61
1,10.4,-145.606,42,0.6722624760000002,0.59
2,10.7,-104.665,42,0.7012530870000013,0.65999997
3,10.7,-114.424995,42,0.605380996000001,0.55
4,10.4,-124.35099,42,0.768056648,0.51
5,10.4,-111.48801,42,0.6792435870000002,0.59999996
6,10.7,-131.962,42,0.5846751660000002,0.45
7,10.7,-101.11099,42,0.7300469129999989,0.64
8,10.4,-87.42801,42,0.6447265260000012,0.68
9,10.7,-105.543,42,0.6611469230000004,0.55
10,10.7,-111.883,42,0.727491273,0.59
11,11.6,-113.784004,42,0.6597552489999998,0.48999998
12,10.7,-120.732,42,0.655029251000002,0.5
13,11.0,-81.399,42,0.6934655260000007,0.65999997
14,11.0,-83.299,42,0.643250823999999,0.62
15,10.4,-98.779,42,0.6739435339999993,0.52
16,10.4,-137.28198,42,0.6752218429999992,0.5
17,10.4,-101.87299,42,0.6856075070000003,0.58
18,10.7,-172.429,42,0.7182713280000002,0.44
19,10.4,-80.36,42,0.6171033500000007,0.61
20,10.7,-107.552,42,0.7072080509999985,0.58
21,10.4,-105.755,42,0.6666055800000024,0.63
22,10.7,-124.53001,42,0.6446284170000034,0.5
23,10.4,-108.08299,42,0.7036943569999998,0.59999996
24,10.7,-80.365,42,0.6880394840000008,0.61
25,-2.5,-355.69202,42,0.6760334320000005,0.0
26,-2.5,-346.369,42,0.5865500280000013,0.0
27,-0.9,-304.688,42,0.7015361230000003,0.0
28,-0.9,-265.75897,42,0.642319269999998,0.0
29,-0.6,-286.74597,42,0.6170249160000019,0.0
30,-0.6,-280.55,42,0.629045915999999,0.0
31,5.0,-293.69598,42,0.7134724999999982,0.01
32,5.0,-275.33398,42,0.7510775719999998,0.01
33,6.0,-295.966,42,0.7314260069999996,0.08
34,6.0,-300.647,42,0.7924528299999984,0.07
35,6.0,-258.898,42,0.7727251849999988,0.16
36,6.0,-298.75098,42,0.7602457700000045,0.12
37,6.5,-282.491,42,0.6849423130000005,0.17
38,6.5,-290.58096,42,0.6552413329999993,0.13
39,6.5,-294.482,42,0.758092529999999,0.13
40,6.5,-318.829,42,0.7541554949999991,0.089999996
41,6.5,-277.714,42,0.7118443689999978,0.19999999
42,6.5,-293.149,42,0.7446594800000028,0.16
43,6.5,-291.57498,42,0.7782847690000025,0.13
44,6.5,-319.97,42,0.6818637820000006,0.089999996
45,6.5,-292.676,42,0.7081378490000034,0.14999999
46,6.5,-313.233,42,0.7540374910000054,0.11
47,6.5,-280.11697,42,0.7147322410000001,0.17
48,6.5,-294.27,42,0.6795134300000001,0.16
49,6.5,-295.482,42,0.7416449130000018,0.14
50,6.5,-314.535,42,0.7576383110000009,0.11
51,6.5,-300.339,42,0.728313595000003,0.11
52,6.5,-309.945,42,0.7438552119999997,0.12
53,6.5,-300.87,42,0.758706004000004,0.13
54,6.5,-313.659,42,0.7315436350000013,0.13
55,6.5,-301.517,42,0.745678887000004,0.13
56,6.5,-314.03397,42,0.7423913279999965,0.11
57,6.5,-305.69397,42,0.704569302000003,0.11
58,6.5,-293.023,42,0.6813860439999999,0.16
59,6.5,-298.779,42,0.7383660779999985,0.16
60,6.5,-309.607,42,0.764318007,0.11
61,6.5,-319.09897,42,0.7507285920000015,0.099999994
62,6.5,-289.728,42,0.7054326290000006,0.13
63,6.5,-296.983,42,0.7798693069999985,0.14999999
64,6.5,-285.02597,42,0.6684062789999956,0.14999999
65,6.5,-294.897,42,0.6689123819999949,0.13
66,6.5,-313.583,42,0.7590718089999982,0.12
67,6.5,-299.05,42,0.5877667120000041,0.14
68,6.5,-304.366,42,0.6388754910000003,0.12
69,6.5,-296.858,42,0.7187586940000017,0.13
70,6.5,-302.19,42,0.5521936289999942,0.14
71,6.5,-278.965,42,0.716585674000001,0.17999999
72,6.5,-283.181,42,0.6973693090000026,0.13
73,6.5,-319.503,42,0.7214840820000035,0.099999994
74,6.5,-283.788,42,0.7170731219999951,0.14999999
75,6.5,-309.92697,42,0.7599335589999967,0.12
76,6.5,-297.934,42,0.7290318360000043,0.17
77,6.5,-312.705,42,0.7252757210000027,0.12
78,6.5,-310.054,42,0.761679247999993,0.12
79,6.5,-299.422,42,0.7736190279999988,0.13
80,6.5,-286.434,42,0.7836547480000036,0.11
81,6.5,-301.464,42,0.6606064979999928,0.16
82,6.5,-299.255,42,0.7764080339999992,0.13
83,6.5,-292.38998,42,0.7545187730000009,0.14
84,6.5,-309.34,42,0.7002387550000009,0.099999994
85,6.5,-307.12598,42,0.7078126430000111,0.089999996
86,6.5,-292.234,42,0.7461764800000026,0.13
87,6.5,-294.556,42,0.7746590529999935,0.14
88,6.5,-313.86697,42,0.7361249539999903,0.12
89,6.5,-333.04602,42,0.7600914439999968,0.06
90,6.5,-286.81897,42,0.7479092189999932,0.14
91,6.5,-316.51398,42,0.699801456000003,0.089999996
92,6.5,-301.37,42,0.7003553670000002,0.13
93,6.5,-278.749,42,0.6744288860000012,0.17999999
94,6.5,-300.843,42,0.7439153260000069,0.13
95,6.5,-284.973,42,0.663605999000012,0.17999999
96,6.5,-310.606,42,0.6638599460000023,0.14
97,6.5,-292.57,42,0.7602547660000027,0.14999999
98,6.5,-289.541,42,0.723063382999996,0.16
99,6.5,-269.332,42,0.711182700000009,0.17999999
