res_0_0_100	res_0_10_90	res_0_25_75	res_0_50_50	res_10_0_90	res_10_10_80	res_10_20_70	res_25_0_75	res_33_33_33	res_50_0_50
1	11	26	51	15	26	43	28	67	58
4	62	28	91	51	36	44	28	68	54
20	39	45	51	62	54	71	98	74	91
51	11	26	84	31	25	32	28	67	69
1	14	37	51	25	47	32	41	79	54
10	11	32	56	18	26	93	26	68	54
6	11	29	94	14	25	33	29	99	94
83	19	42	76	11	41	31	42	79	55
44	41	36	51	12	28	32	67	73	61
1	11	37	62	41	21	34	30	80	51
3	13	61	93	11	22	32	34	70	53
3	19	47	55	13	24	76	34	67	53
40	38	49	54	19	23	31	34	82	51
31	15	78	51	38	28	38	26	67	72
6	12	43	73	15	32	33	28		52
3	12	28	51	12	21	31	28		73
16	11	34		12	21		50		51
29				11					
