res_0_0_100	res_0_10_90	res_0_25_75	res_0_50_50	res_10_0_90	res_10_10_80	res_10_20_70	res_25_0_75	res_33_33_33	res_50_0_50
31	52	60	77	28	52	73	40	69	63
73	62	40	97	62	61	31	28	70	77
8	91	28	61	91	32	98	32	87	97
68	16	30	72	39	26	60	43	72	61
4	39	43	63	26	29	37	65	73	72
16	26	65	59	61	23	60	92	70	63
35	26	92	60	26	55	33	30	80	91
58	26	30	61	59	85	33	26	77	91
21	64	26	80	64	33	35	30	98	60
27	12	30	75	12	37	33	93	79	61
90	11	93	51	11	22	90	67	67	80
3	17	54	57	17	31	52	44	91	82
68	59	44	77	59	33	39		85	51
24	35			35	21	55		77	57
53	11			11	23				52
12	18			18	28				77
4	43			43	23				58
7	56			56	27				
3	34			34	68				
29	29			29	29				
					29				
					45				
					57				
