generation	max_fitness
0	0.9
1	0.9
2	0.9
3	0.9
4	0.9
5	1.2
6	0.9
7	0.9
8	0.9
9	0.9
10	0.9
11	0.9
12	0.9
13	0.9
14	1.2
15	0.9
16	0.9
17	0.9
18	0.9
19	0.9
20	0.9
21	0.9
22	0.9
23	0.9
24	0.9
25	0.9
26	0.9
27	0.9
28	0.9
29	0.9
30	1.2
31	1.8
32	3.3
33	3.3
34	3.3
35	3.3
36	3.4
37	3.4
38	3.4
39	3.4
40	3.4
41	3.4
42	3.4
43	3.4
44	3.4
45	3.4
46	3.4
47	3.4
48	3.4
49	3.4
50	3.4
51	3.4
52	3.4
53	3.4
54	3.4
55	3.4
56	3.4
57	3.4
58	3.4
59	3.4
60	3.4
61	3.4
62	3.4
63	3.4
64	3.4
65	3.4
66	3.4
67	3.4
68	3.4
69	3.6
70	3.6
71	3.6
72	3.6
73	3.6
74	3.6
75	3.6
76	3.6
77	3.6
78	3.6
79	3.9
80	3.9
81	3.9
82	3.9
83	3.9
84	3.9
85	3.9
86	3.9
87	3.9
88	3.9
89	3.9
90	7.8
91	7.8
92	7.8
93	7.8
94	7.8
95	7.8
96	7.8
97	7.8
98	7.8
99	7.8
