generation	max_fitness
0	10.1
1	10.4
2	10.1
3	10.1
4	10.4
5	10.1
6	10.4
7	10.4
8	10.1
9	10.7
10	10.1
11	10.4
12	10.4
13	10.4
14	10.1
15	10.1
16	10.1
17	10.1
18	10.4
19	11.0
20	10.4
21	10.1
22	10.7
23	10.4
24	10.4
25	10.1
26	10.4
27	10.1
28	10.1
29	10.1
30	10.7
31	10.4
32	10.7
33	10.4
34	10.4
35	10.4
36	10.7
37	10.7
38	10.4
39	10.4
40	10.1
41	10.4
42	10.1
43	10.1
44	10.4
45	10.7
46	10.7
47	10.7
48	10.4
49	10.7
50	10.4
51	10.4
52	10.4
53	10.1
54	10.7
55	10.7
56	10.4
57	10.7
58	10.4
59	10.7
60	10.4
61	10.7
62	10.4
63	10.7
64	10.4
65	10.1
66	-0.9
67	-0.3
68	-0.3
69	-0.3
70	-0.3
71	-0.3
72	-0.3
73	-0.3
74	-0.3
75	-0.3
76	6.0
77	6.0
78	6.0
79	6.5
80	6.5
81	6.5
82	6.5
83	8.1
84	8.1
85	8.1
86	8.1
87	8.1
88	8.1
89	8.1
90	8.1
91	8.1
92	8.1
93	8.1
94	8.1
95	8.1
96	8.1
97	8.1
98	8.1
99	8.1
