res_0_0_100	res_0_10_90	res_0_25_75	res_0_50_50	res_10_0_90	res_10_10_80	res_10_20_70	res_25_0_75	res_33_33_33	res_50_0_50
31	42	35	27	18	32	43	15	3	13
73	52	15	47	52	41	1	3	4	27
8	81	3	11	81	12	68	7	21	47
68	6	5	22	29	6	30	18	6	11
4	29	18	13	16	9	7	40	7	22
16	16	40	9	51	3	30	67	4	13
35	16	67	10	16	35	3	5	14	41
58	16	5	11	49	65	3	1	11	41
21	54	1	30	54	13	5	5	32	10
27	2	5	25	2	17	3	68	13	11
90	1	68	1	1	2	60	42	1	30
3	7	29	7	7	11	22	19	25	32
68	49	19	27	49	13	9		19	1
24	25			25	1	25		11	7
53	1			1	3				2
12	8			8	8				27
4	33			33	3				8
7	46			46	7				
3	24			24	48				
29	19			19	9				
					9				
					25				
					37				
