res_0_0_100	res_0_10_90	res_0_25_75	res_0_50_50	res_10_0_90	res_10_10_80	res_10_20_70	res_25_0_75	res_33_33_33	res_50_0_50
75	2	31	29	82	8	18	3	5	1
57	10	23	4	4	1	12	14	10	4
1	35	38	6	7	27	2	11	14	38
3	16	20	14	18	11	46	7	3	26
37	2	19	3	10	6	22	3	3	43
9	88	2	11	44	54	59	53	10	11
2	15	3	4	5	6	14	4	9	8
4	7	12	31	41	9	2	8	7	13
22	9	7	5	18	10	3	50	4	3
74	22	50	34	2	40	30	1	28	33
52	5	24	34	5	2	16	49	2	9
10	71	1	13	68	4	54	10	15	27
30	2	56	1	38	7	6	37	15	27
2	19	10	3	6	19	59	2	7	7
36	77	10	26	23	8	4	39	19	5
1	20	20	11	77	74	55	8	2	32
14	85	28	1	53	2	4	63	33	8
4	57	26	3	76	75	63	66	17	37
23	27	11		16	76	10	7	8	1
97	21	1		1	6	8	24	18	24
1	57	47		45	10	6	17		26
18	45	13		1	9	2	8		7
22	19	43		40	39	16			
	11	1		3	53	2			
	1	41			20	2			
	1	3			35				
	17								
